,lon,lat,res-25,res-77,res-136,res-201,res-273,res-353,res-442,res-541,res-650,res-772,res-907,res-1056,res-1223,res-1407,res-1612,res-1839,res-2092,res-2372,res-2683,res-3028,res-3411,res-3837,res-4309,res-4833,res-5414,res-6060,res-6776,res-7572,res-8455,res-9435,res-10523,res-11730,res-13071,res-14559,res-16210,res-18043,res-20078,res-22337,res-24844,res-27627,res-30716,res-34145,res-37951,res-42175,res-46865,res-52070,res-57847,res-64261,res-71379,res-79281,res-88052,res-97788,res-108595,res-120590,res-133905,res-148685,res-165090,res-183300,res-203513,res-225950,res-250854,res-278498,res-309183,neoFaults,archFaults,gairFaults,aster1-AlOH-cont,aster2-AlOH,aster3-FeOH-cont,aster4-Ferric-cont,aster5-Ferrous-cont,aster6-Ferrous-index,aster7-MgOH-comp,aster8-MgOH-cont,aster9-green,aster10-kaolin,aster11-opaque,aster12-quartz,aster13-regolith-b3,aster14-regolith-b4,aster15-silica,base16,dem17,dtb18,mag19-2vd,mag20-rtp,mag21-tmi,rad22-dose,rad23-k,rad24-th,rad25-u,grav26,archean27,geol28,random,deposit
0,133.7354003,-26.1811483,1.9932,1.9896,1.987,1.9848,1.9827,1.9805,1.9782,1.9756,1.9727,1.9695,1.9658,1.9618,1.9572,1.952,1.9462,1.9397,1.9322,1.9239,1.9143,1.9035,1.8912,1.8773,1.8618,1.8445,1.8255,1.805,1.7829,1.7592,1.7339,1.7071,1.6791,1.6504,1.6218,1.5941,1.5683,1.5456,1.5273,1.5147,1.5094,1.5129,1.5268,1.5529,1.5925,1.6471,1.7176,1.8046,1.908,2.0269,2.1592,2.3019,2.4507,2.5998,2.7421,2.8692,2.9717,3.0406,3.0687,3.053,2.9962,2.9061,2.7937,2.6705,2.5458,0.4780432587429528,0.737602355562264,1.324681018167698,1.976917028427124,1.0926672220230103,2.10915207862854,1.4650654792785645,0.9243353605270386,0.8765931129455566,0.9937421679496765,1.1119481325149536,1.345428705215454,0.9686577916145325,-9999.0,0.5013706088066101,0.870043158531189,1.275014877319336,1.0357542037963867,449.62158203125,449.4534912109375,-9999.0,0.000632606795988977,1168.3828125,833.6442260742188,74.21661376953125,3.29477596282959,9.224061012268066,51.34515380859375,-24.31972885131836,14552.0,17068.0,999.0,1
1,133.8155293,-26.2559353,1.9932,1.9896,1.9869,1.9847,1.9826,1.9804,1.9781,1.9755,1.9726,1.9693,1.9657,1.9616,1.957,1.9518,1.946,1.9394,1.932,1.9237,1.9142,1.9035,1.8915,1.8781,1.8632,1.8466,1.8286,1.8091,1.7881,1.7657,1.7417,1.7161,1.6894,1.662,1.6343,1.6072,1.5815,1.5582,1.5385,1.5238,1.5156,1.5154,1.525,1.5462,1.5805,1.6297,1.6951,1.7777,1.8777,1.9946,2.1266,2.2704,2.4215,2.5739,2.7204,2.8522,2.9599,3.0345,3.0687,3.0591,3.0078,2.9221,2.8127,2.6908,2.5656,0.37339664738277567,0.6789480910632398,1.2740731633604216,1.995701789855957,1.0414247512817383,-9999.0,1.5408272743225098,-9999.0,0.818718671798706,-9999.0,-9999.0,1.4697866439819336,-9999.0,-9999.0,0.5017889142036438,0.8334225416183472,1.2824978828430176,1.079397439956665,394.8239440917969,400.5614929199219,-16.631837844848633,0.000809463148470968,1216.059326171875,685.9623413085938,64.25178527832031,2.796567916870117,10.195356369018555,48.36750030517578,-21.27407455444336,14552.0,17068.0,-999.0,1
2,133.7156263,-26.4125243,1.9932,1.9896,1.987,1.9848,1.9827,1.9805,1.9782,1.9756,1.9727,1.9695,1.9658,1.9618,1.9572,1.952,1.9462,1.9397,1.9322,1.9239,1.9143,1.9035,1.8912,1.8773,1.8618,1.8445,1.8255,1.805,1.7829,1.7592,1.7339,1.7071,1.6791,1.6504,1.6218,1.5941,1.5683,1.5456,1.5273,1.5147,1.5094,1.5129,1.5268,1.5529,1.5925,1.6471,1.7176,1.8046,1.908,2.0269,2.1592,2.3019,2.4507,2.5998,2.7421,2.8692,2.9717,3.0406,3.0687,3.053,2.9962,2.9061,2.7937,2.6705,2.5458,0.26994685446846317,0.506690003732581,1.0955635968117183,2.1127707958221436,0.9992932677268982,1.8427561521530151,1.1464380025863647,0.6508630514144897,0.6508630514144897,1.1154907941818237,1.02012300491333,1.555119514465332,0.9469589591026306,-9999.0,0.5033557415008545,1.2674282789230347,1.4660305976867676,1.089861273765564,388.9956970214844,391.2724609375,-9999.0,0.0010333522222936153,106.46920776367188,-127.86711120605469,106.8621826171875,3.0518240928649902,32.80547332763672,56.35841369628906,-21.91470718383789,14552.0,17296.0,-999.0,1
3,134.0641041,-29.5627053,2.3463,2.5501,2.6645,2.7224,2.7592,2.7927,2.8281,2.8656,2.9041,2.9433,2.9834,3.0255,3.0716,3.1234,3.1792,3.2286,3.2433,3.1718,2.9524,2.5539,2.0055,1.4287,1.1787,1.6156,2.3727,2.9761,3.3314,3.5079,3.5801,3.5918,3.5656,3.5156,3.4529,3.3872,3.3258,3.2734,3.2317,3.2003,3.176,3.1531,3.1223,3.0708,2.9841,2.8511,2.6726,2.4719,2.2957,2.1866,2.1534,2.1793,2.2347,2.2832,2.2872,2.2154,2.0543,1.8207,1.5708,1.3895,1.3403,1.4133,1.5486,1.6948,1.8227,0.4375686412287148,0.1594420247077468,0.0259885420795956,2.0341243743896484,1.0767266750335693,2.000621795654297,1.452211856842041,0.9199326038360596,0.9199326038360596,1.0209674835205078,1.0305274724960327,1.2859569787979126,0.9483262300491333,-9999.0,0.5100500583648682,0.8060002326965332,1.170420527458191,1.1925116777420044,161.688720703125,163.04849243164062,-3.6752429008483887,-0.0004044418456032872,-298.021484375,-569.5655517578125,29.90770149230957,0.5393089652061462,6.518446922302246,46.56035232543945,-19.851654052734375,18940.0,18900.0,-999.0,1
4,139.2361425,-29.7908875,2.1909,2.2574,2.2827,2.2899,2.2885,2.2797,2.2604,2.2268,2.1771,2.1155,2.054,2.0134,2.0243,2.1119,2.2704,2.4625,2.6418,2.775,2.8475,2.8543,2.8227,2.9204,3.022,3.0765,3.0451,2.9237,2.7628,2.612,2.4903,2.3959,2.3215,2.2599,2.2057,2.1555,2.1076,2.0614,2.0173,1.976,1.9392,1.9104,1.8961,1.9064,1.9538,2.0478,2.1876,2.3584,2.5364,2.6979,2.8252,2.9088,2.9465,2.9414,2.8997,2.8283,2.7341,2.6234,2.5027,2.3788,2.2593,2.152,2.0632,1.9963,1.9501,0.030011081578085363,0.19768121466255556,2.544104419500857,2.086930513381958,1.0898231267929077,1.92576003074646,1.444992184638977,0.860084056854248,0.860084056854248,1.0831904411315918,1.0237188339233398,1.2301315069198608,0.9193317890167236,-9999.0,0.5151190757751465,0.87713223695755,1.2669963836669922,1.111476182937622,130.957763671875,133.31021118164062,-33.913482666015625,-4.447473997970519e-07,-339.9688720703125,-45.94600296020508,70.30470275878906,1.2401732206344604,9.760725975036621,62.1645622253418,-2.335796356201172,19214.0,8042.0,999.0,1
5,139.5312594,-29.7917895,2.1202,2.159,2.1701,2.169,2.1628,2.1532,2.1411,2.129,2.1236,2.1336,2.1636,2.2111,2.2736,2.3523,2.4435,2.5308,2.5862,2.5725,2.4371,2.1266,1.6785,1.5156,1.5279,1.7525,2.0335,2.2191,2.3086,2.3461,2.3588,2.3584,2.3504,2.3393,2.3286,2.3204,2.3155,2.3137,2.3143,2.3166,2.3203,2.3264,2.3373,2.357,2.3903,2.4411,2.5093,2.5893,2.6714,2.7441,2.798,2.8269,2.8286,2.804,2.7558,2.6878,2.6037,2.5078,2.4042,2.298,2.1952,2.1025,2.0258,1.968,1.9286,0.0024951354619586505,0.0024951354619586505,2.801547979675089,2.288123607635498,1.0898168087005615,1.765043020248413,1.4902313947677612,-9999.0,0.8568557500839233,-9999.0,0.9396477937698364,1.381847620010376,0.7947747111320496,-9999.0,0.5114723443984985,0.8681962490081787,1.2740159034729004,1.0923879146575928,126.67143249511719,126.83187866210938,-7.75279426574707,0.00129330949857831,-408.1788024902344,-113.13663482666016,149.30587768554688,3.244335174560547,33.77783203125,140.24505615234375,-18.1654109954834,17262.0,16926.0,999.0,1
6,139.2365335,-29.7930485,2.1909,2.2574,2.2827,2.2899,2.2885,2.2797,2.2604,2.2268,2.1771,2.1155,2.054,2.0134,2.0243,2.1119,2.2704,2.4625,2.6418,2.775,2.8475,2.8543,2.8227,2.9204,3.022,3.0765,3.0451,2.9237,2.7628,2.612,2.4903,2.3959,2.3215,2.2599,2.2057,2.1555,2.1076,2.0614,2.0173,1.976,1.9392,1.9104,1.8961,1.9064,1.9538,2.0478,2.1876,2.3584,2.5364,2.6979,2.8252,2.9088,2.9465,2.9414,2.8997,2.8283,2.7341,2.6234,2.5027,2.3788,2.2593,2.152,2.0632,1.9963,1.9501,0.027933157701389946,0.19698455605692125,2.543870566525264,2.086930513381958,1.0898231267929077,1.92576003074646,1.444992184638977,0.860084056854248,0.860084056854248,1.0831904411315918,1.0237188339233398,1.2301315069198608,0.9193317890167236,-9999.0,0.5151190757751465,0.87713223695755,1.2669963836669922,1.111476182937622,130.957763671875,133.31021118164062,-33.913482666015625,-4.447473997970519e-07,-339.9688720703125,-45.94600296020508,70.30470275878906,1.2401732206344604,9.760725975036621,62.1645622253418,-2.335796356201172,19214.0,8042.0,-999.0,1
7,139.3018524,-29.8506675,2.3221,2.4421,2.4935,2.5166,2.5316,2.5452,2.5585,2.5721,2.5896,2.6185,2.668,2.7441,2.8503,2.9881,3.1455,3.2832,3.3395,3.2731,3.0814,2.7297,2.2555,2.3291,2.34,2.4032,2.5113,2.5262,2.4788,2.4239,2.3744,2.3252,2.2736,2.2221,2.1751,2.1365,2.1089,2.0941,2.0935,2.1079,2.1378,2.1835,2.2455,2.3244,2.4208,2.5334,2.6566,2.7802,2.8914,2.9782,3.0325,3.0507,3.0335,2.9846,2.909,2.8121,2.6992,2.5755,2.4465,2.3186,2.1991,2.0954,2.013,1.9539,1.9162,0.019290750960744053,0.13329603472655738,2.577123087078812,2.1029653549194336,1.0927660465240479,1.916024088859558,1.4228382110595703,0.8647922873497009,0.8647922873497009,1.0866929292678833,1.0621013641357422,1.2603012323379517,0.9124538898468018,0.5383996963500977,0.510970950126648,0.8897048234939575,1.2640613317489624,1.1123816967010498,178.7804412841797,182.46890258789062,-9999.0,-6.228947313502431e-05,-360.3492736816406,-52.43064498901367,83.501708984375,1.8292384147644043,18.560638427734375,89.4702377319336,-0.07582119852304459,19214.0,8602.0,-999.0,1
8,139.2992534,-29.8513555,2.3221,2.4421,2.4935,2.5166,2.5316,2.5452,2.5585,2.5721,2.5896,2.6185,2.668,2.7441,2.8503,2.9881,3.1455,3.2832,3.3395,3.2731,3.0814,2.7297,2.2555,2.3291,2.34,2.4032,2.5113,2.5262,2.4788,2.4239,2.3744,2.3252,2.2736,2.2221,2.1751,2.1365,2.1089,2.0941,2.0935,2.1079,2.1378,2.1835,2.2455,2.3244,2.4208,2.5334,2.6566,2.7802,2.8914,2.9782,3.0325,3.0507,3.0335,2.9846,2.909,2.8121,2.6992,2.5755,2.4465,2.3186,2.1991,2.0954,2.013,1.9539,1.9162,0.017100790840072037,0.13598348201428404,2.574581593651015,2.1179213523864746,1.109635353088379,1.9278452396392822,1.4152500629425049,0.8813489675521851,0.8813489675521851,1.074504017829895,1.0520298480987549,1.2766025066375732,0.8984620571136475,0.5383996963500977,0.5094363689422607,0.891659140586853,1.2605621814727783,1.126136064529419,185.23605346679688,189.60272216796875,-9999.0,-8.235547284130007e-05,-348.2370910644531,-52.15174865722656,67.65562438964844,1.5689167976379395,15.409997940063477,80.28515625,0.1771569699048996,19214.0,8602.0,999.0,1
9,135.5776179,-29.7184253,2.038,2.0496,2.0519,2.0512,2.05,2.0484,2.0461,2.0427,2.0374,2.029,2.0159,1.995,1.9629,1.9201,1.8777,1.8387,1.789,1.7115,1.5866,1.411,1.2387,1.1917,1.3373,1.6051,1.8809,2.1051,2.2718,2.3932,2.4797,2.5367,2.5665,2.5702,2.5483,2.4995,2.4194,2.301,2.1434,1.9802,1.9068,1.9944,2.1703,2.3449,2.4842,2.5889,2.6704,2.7399,2.8062,2.8744,2.9457,3.0162,3.0743,3.1006,3.0731,2.9772,2.8165,2.6136,2.4043,2.2286,2.1164,2.0682,2.0589,2.063,2.0659,0.5318096212363276,0.01516357110213183,0.1010988631712143,2.1222219467163086,1.098165512084961,1.9641051292419434,1.1748535633087158,0.7823644876480103,0.7823644876480103,1.0258357524871826,1.0632869005203247,1.3079391717910767,0.900397777557373,-9999.0,0.506131649017334,1.1975221633911133,1.4047110080718994,1.0155327320098877,114.37750244140625,209.07791137695312,-9999.0,0.0117168128490448,2183.200927734375,668.7092895507812,63.860877990722656,1.0022119283676147,14.44045639038086,52.55501174926758,4.345998764038086,18080.0,8042.0,-999.0,1
