,lon,lat,res-25,res-77,res-136,res-201,res-273,res-353,res-442,res-541,res-650,res-772,res-907,res-1056,res-1223,res-1407,res-1612,res-1839,res-2092,res-2372,res-2683,res-3028,res-3411,res-3837,res-4309,res-4833,res-5414,res-6060,res-6776,res-7572,res-8455,res-9435,res-10523,res-11730,res-13071,res-14559,res-16210,res-18043,res-20078,res-22337,res-24844,res-27627,res-30716,res-34145,res-37951,res-42175,res-46865,res-52070,res-57847,res-64261,res-71379,res-79281,res-88052,res-97788,res-108595,res-120590,res-133905,res-148685,res-165090,res-183300,res-203513,res-225950,res-250854,res-278498,res-309183,neoFaults,archFaults,gairFaults,aster1-AlOH-cont,aster2-AlOH,aster3-FeOH-cont,aster4-Ferric-cont,aster5-Ferrous-cont,aster6-Ferrous-index,aster7-MgOH-comp,aster8-MgOH-cont,aster9-green,aster10-kaolin,aster11-opaque,aster12-quartz,aster13-regolith-b3,aster14-regolith-b4,aster15-silica,base16,dem17,dtb18,mag19-2vd,mag20-rtp,mag21-tmi,rad22-dose,rad23-k,rad24-th,rad25-u,grav26,archean27,geol28,random,deposit
0,129.2037578,-26.0045032,1.9954,1.9926,1.9902,1.988,1.9855,1.9823,1.9778,1.9714,1.962,1.9488,1.9307,1.9078,1.8824,1.8611,1.8521,1.8578,1.8739,1.8932,1.9106,1.9239,1.9327,1.938,1.9411,1.9432,1.9451,1.9477,1.9515,1.957,1.9646,1.9746,1.9871,2.0022,2.0199,2.04,2.0623,2.0863,2.1115,2.137,2.1622,2.1862,2.208,2.2268,2.2417,2.2519,2.2563,2.254,2.2444,2.2274,2.2038,2.1757,2.1467,2.1213,2.1047,2.1015,2.1149,2.146,2.1939,2.2554,2.3255,2.3965,2.4581,2.4968,2.499,1.0043308560440074,1.0204205540574771,2.7382429304170453,1.9424428939819336,1.0724213123321533,2.080878496170044,1.255807876586914,0.8014675974845886,0.7752866744995117,0.9952025413513184,1.0619823932647705,1.4691256284713745,1.02187180519104,0.5472846627235413,0.5040726661682129,1.109525203704834,1.3727372884750366,1.0747923851013184,659.6151733398438,695.386962890625,-48.179893493652344,-0.00017128087347373366,-663.1924438476562,-29.82904624938965,27.65027618408203,0.8173603415489197,5.912730693817139,35.44778060913086,-10.527547836303711,14552.0,17056.0,-999.0,1
1,129.1756098,-26.0109782,1.9954,1.9926,1.9902,1.988,1.9855,1.9823,1.9778,1.9714,1.962,1.9488,1.9307,1.9078,1.8824,1.8611,1.8521,1.8578,1.8739,1.8932,1.9106,1.9239,1.9327,1.938,1.9411,1.9432,1.9451,1.9477,1.9515,1.957,1.9646,1.9746,1.9871,2.0022,2.0199,2.04,2.0623,2.0863,2.1115,2.137,2.1622,2.1862,2.208,2.2268,2.2417,2.2519,2.2563,2.254,2.2444,2.2274,2.2038,2.1757,2.1467,2.1213,2.1047,2.1015,2.1149,2.146,2.1939,2.2554,2.3255,2.3965,2.4581,2.4968,2.499,0.9926268730682376,1.008797815642045,2.753673604000064,1.8839120864868164,-9999.0,-9999.0,1.396781325340271,-9999.0,0.8204867243766785,-9999.0,-9999.0,1.542378544807434,-9999.0,0.47554832696914673,0.5050537586212158,0.9411436319351196,1.2570555210113525,1.080017328262329,689.04736328125,704.358154296875,-30.6717586517334,-0.000895175093319267,-680.6435546875,149.79568481445312,26.980792999267578,0.9861512184143066,5.150241851806641,31.664337158203125,-6.381483554840088,14552.0,17056.0,-999.0,1
2,128.9380348,-26.0423782,1.9978,1.9964,1.9952,1.9941,1.993,1.9917,1.99,1.9876,1.984,1.9789,1.9718,1.9625,1.9517,1.9415,1.9347,1.9333,1.937,1.9437,1.9512,1.9578,1.9631,1.967,1.9702,1.9731,1.9765,1.9807,1.9862,1.9934,2.0024,2.0135,2.0268,2.0424,2.0602,2.0801,2.102,2.1254,2.15,2.1753,2.2007,2.2255,2.249,2.2702,2.2884,2.3024,2.3114,2.3144,2.3108,2.3006,2.2845,2.2646,2.2441,2.2274,2.2195,2.2255,2.2491,2.292,2.3534,2.4297,2.5143,2.5971,2.6641,2.6987,2.6844,0.9475965431249065,0.9639878564206407,2.9072652488278465,1.9906760454177856,1.0993117094039917,-9999.0,1.3369075059890747,-9999.0,0.9438581466674805,-9999.0,-9999.0,1.4210103750228882,-9999.0,0.5263824462890625,0.5022321343421936,0.8711897730827332,1.1647001504898071,1.0683090686798096,636.1200561523438,652.8370361328125,-4.788809299468994,-0.0025631145108491182,150.2808074951172,416.2962951660156,43.35826110839844,-9999.0,-9999.0,50.829315185546875,3.185065984725952,-9999.0,-9999.0,-999.0,1
3,132.7613144,-26.7784662,2.045,2.0651,2.0781,2.0881,2.0972,2.1065,2.1164,2.127,2.1387,2.1514,2.1655,2.1813,2.1991,2.2189,2.2407,2.2637,2.2859,2.3034,2.3138,2.3195,2.3262,2.3367,2.351,2.3683,2.3875,2.4077,2.4282,2.4486,2.4688,2.489,2.5092,2.5297,2.5506,2.572,2.5938,2.6159,2.638,2.6596,2.6803,2.6994,2.7168,2.7325,2.7472,2.7623,2.7801,2.8033,2.8346,2.8753,2.9251,2.9814,3.0399,3.095,3.1407,3.1701,3.177,3.1558,3.1036,3.0209,2.912,2.784,2.647,2.5116,2.3873,0.03698924866209013,0.41318991692455087,0.9089411466220033,1.9727931022644043,1.118410348892212,2.069675922393799,1.4516816139221191,0.8460683822631836,0.8460683822631836,0.996522068977356,1.0883103609085083,1.3483377695083618,0.9665270447731018,-9999.0,0.5031144618988037,0.9096633195877075,1.3039536476135254,1.0604654550552368,519.13134765625,519.9557495117188,-1.7167513370513916,0.0013250699266791344,349.7548828125,122.74789428710938,41.373199462890625,1.5573337078094482,7.677425384521484,38.954612731933594,-49.54899215698242,14552.0,17298.0,-999.0,1
4,139.3022934,-29.8344475,2.3221,2.4421,2.4935,2.5166,2.5316,2.5452,2.5585,2.5721,2.5896,2.6185,2.668,2.7441,2.8503,2.9881,3.1455,3.2832,3.3395,3.2731,3.0814,2.7297,2.2555,2.3291,2.34,2.4032,2.5113,2.5262,2.4788,2.4239,2.3744,2.3252,2.2736,2.2221,2.1751,2.1365,2.1089,2.0941,2.0935,2.1079,2.1378,2.1835,2.2455,2.3244,2.4208,2.5334,2.6566,2.7802,2.8914,2.9782,3.0325,3.0507,3.0335,2.9846,2.909,2.8121,2.6992,2.5755,2.4465,2.3186,2.1991,2.0954,2.013,1.9539,1.9162,0.008379238275369735,0.13011478337037732,2.5865588272042257,2.0715413093566895,1.1660140752792358,1.9795918464660645,1.3246487379074097,0.9079453945159912,0.8802052140235901,1.0480037927627563,1.0327222347259521,1.3719842433929443,0.8716268539428711,-9999.0,0.5129033327102661,1.016263723373413,1.3256512880325317,1.1242427825927734,170.3505859375,172.12979125976562,-9999.0,0.00012938474537804723,-366.35577392578125,-59.807220458984375,86.28338623046875,1.401686191558838,13.533924102783203,70.6202392578125,-1.2759990692138672,19214.0,8602.0,999.0,1
5,139.5381154,-29.8822795,2.1864,2.2539,2.2814,2.2923,2.2982,2.3034,2.3093,2.3172,2.3302,2.3525,2.3874,2.4355,2.4969,2.5696,2.6429,2.6917,2.6858,2.5866,2.3222,1.8173,1.1631,1.154,1.2192,1.5066,1.9545,2.3201,2.5528,2.6849,2.7469,2.7597,2.7403,2.7042,2.6639,2.628,2.601,2.5844,2.5782,2.5815,2.5935,2.6136,2.6418,2.6783,2.7233,2.7758,2.8327,2.8883,2.9353,2.9668,2.9775,2.9651,2.9295,2.8728,2.7976,2.7073,2.605,2.4944,2.3796,2.2657,2.1588,2.0654,1.991,1.9376,1.9037,0.02107508238377804,0.011433734941310638,2.760239220468943,2.070343017578125,1.1027483940124512,1.9754732847213745,1.4635659456253052,-9999.0,0.9032507538795471,-9999.0,1.0002186298370361,1.4245274066925049,0.9028527140617371,-9999.0,0.49845245480537415,0.834143877029419,1.2208219766616821,1.0573792457580566,191.97181701660156,195.06927490234375,-9999.0,0.0002985966275446117,-422.23638916015625,-56.9449462890625,844.7046508789062,3.196476936340332,257.5899963378906,428.0910949707031,-10.366608619689941,17138.0,16926.0,-999.0,1
6,139.3546264,-30.1528015,3.0146,3.3037,3.381,3.3946,3.4007,3.4103,3.4215,3.4314,3.4386,3.4432,3.4454,3.4454,3.4424,3.4367,3.4307,3.432,3.4571,3.529,3.6456,3.7389,3.7905,4.1262,4.3004,4.3223,4.286,4.1963,4.1025,4.0314,3.977,3.924,3.8609,3.7823,3.6866,3.5759,3.4557,3.3341,3.2207,3.1244,3.0521,3.0075,2.9899,2.9953,3.0166,3.0453,3.0718,3.0873,3.0863,3.0664,3.028,2.9722,2.9001,2.8127,2.7108,2.5962,2.4719,2.3423,2.2135,2.0929,1.9884,1.9068,1.852,1.8235,1.8161,0.0028641467390044867,0.004579421657919811,2.4686060879046696,1.876598834991455,-9999.0,-9999.0,1.670993447303772,-9999.0,0.7854740619659424,-9999.0,-9999.0,1.5472242832183838,-9999.0,0.3333333432674408,0.5028956532478333,0.8877404928207397,1.4679768085479736,1.0036885738372803,582.1737060546875,601.494384765625,-0.04420940577983856,-0.006870734505355358,764.9915771484375,807.8402099609375,93.61062622070312,3.1808042526245117,18.937837600708008,102.23445129394531,-18.635480880737305,14550.0,16938.0,-999.0,1
7,139.6474724,-30.0038185,2.1829,2.2446,2.264,2.2664,2.264,2.2603,2.2552,2.2476,2.2367,2.2221,2.2036,2.1822,2.1616,2.1512,2.167,2.2346,2.3995,2.6782,2.9568,3.0813,3.0099,3.1104,3.0682,2.9976,3.0026,3.0397,3.0899,3.1422,3.1838,3.2057,3.208,3.1968,3.1791,3.16,3.1425,3.1276,3.1161,3.108,3.1034,3.102,3.103,3.1047,3.105,3.1017,3.0919,3.0735,3.0449,3.0057,2.956,2.8963,2.8271,2.7486,2.6609,2.5646,2.4609,2.352,2.2415,2.1344,2.037,1.9559,1.896,1.8587,1.8413,0.038660134256049784,0.0016037378748647822,2.7971646959889758,2.074711322784424,1.0963826179504395,1.9666866064071655,1.3867329359054565,0.8461815714836121,0.8603237867355347,1.0440729856491089,1.0181039571762085,1.3153740167617798,0.9224705696105957,-9999.0,0.5070527195930481,0.9231792688369751,1.2755568027496338,1.0608901977539062,253.712646484375,256.141845703125,-12.031339645385742,0.0047022318467497826,598.0206909179688,589.6468505859375,257.26861572265625,3.6270246505737305,86.23800659179688,231.1787872314453,-0.3748853802680969,17138.0,16926.0,-999.0,1
8,139.3171364,-30.4162085,3.0781,3.39,3.475,3.4903,3.4954,3.5022,3.5089,3.5124,3.5114,3.5058,3.4961,3.4832,3.4677,3.4503,3.4305,3.406,3.3712,3.3138,3.2086,3.0123,2.701,2.4171,2.5205,3.0486,3.574,3.93,4.1456,4.2762,4.3551,4.3953,4.3978,4.3584,4.274,4.1465,3.9828,3.7926,3.5841,3.3616,3.1265,2.8809,2.6346,2.4104,2.2414,2.1512,2.134,2.16,2.1973,2.225,2.2335,2.2194,2.1823,2.1237,2.0481,1.9624,1.8758,1.797,1.732,1.683,1.6507,1.6365,1.6418,1.6655,1.7022,0.002740694487127461,0.10537720439446595,2.3071733684867892,1.9500261545181274,1.1498678922653198,2.1020498275756836,1.7514312267303467,0.8706552982330322,0.8706552982330322,1.0124603509902954,1.0595812797546387,1.3692140579223633,0.9510239362716675,-9999.0,0.5103975534439087,0.7847245931625366,1.3453058004379272,1.096400260925293,335.22210693359375,335.12841796875,-0.10481788218021393,-8.059611718636006e-05,-111.89263153076172,253.0959930419922,63.24501037597656,1.7701600790023804,10.795011520385742,70.45999145507812,-0.4721190631389618,19218.0,15514.0,-999.0,1
9,140.3789062,-31.5046445,2.0483,2.0656,2.0722,2.074,2.0738,2.0726,2.0706,2.0674,2.0627,2.056,2.0466,2.0338,2.0179,2.0004,1.9852,1.9786,1.9906,2.0268,2.0752,2.1303,2.1868,2.2439,2.297,2.3411,2.3755,2.4041,2.436,2.477,2.5236,2.5591,2.5641,2.5719,2.5767,2.5626,2.5302,2.4748,2.3834,2.246,2.0687,1.89,1.7815,1.7876,1.8801,2.0028,2.1196,2.2212,2.3128,2.4017,2.4916,2.5811,2.6653,2.737,2.7888,2.8138,2.8062,2.7622,2.6807,2.5643,2.4204,2.262,2.107,1.9752,1.8811,0.5190371765062165,0.0010942342385960205,2.8865011241857537,2.017098903656006,1.1029512882232666,1.9670358896255493,1.4445924758911133,-9999.0,0.9063412547111511,-9999.0,1.0042102336883545,1.3643064498901367,0.9441476464271545,-9999.0,0.5047343969345093,0.8434680700302124,1.216871738433838,1.1294442415237427,-67.93900299072266,90.35408020019531,-9999.0,-0.0009605194791220129,234.93801879882812,-272.72222900390625,41.14900207519531,1.0181195735931396,9.374889373779297,45.539215087890625,-24.520904541015625,18454.0,2006.0,-999.0,1
