,lon,lat,res-25,res-77,res-136,res-201,res-273,res-353,res-442,res-541,res-650,res-772,res-907,res-1056,res-1223,res-1407,res-1612,res-1839,res-2092,res-2372,res-2683,res-3028,res-3411,res-3837,res-4309,res-4833,res-5414,res-6060,res-6776,res-7572,res-8455,res-9435,res-10523,res-11730,res-13071,res-14559,res-16210,res-18043,res-20078,res-22337,res-24844,res-27627,res-30716,res-34145,res-37951,res-42175,res-46865,res-52070,res-57847,res-64261,res-71379,res-79281,res-88052,res-97788,res-108595,res-120590,res-133905,res-148685,res-165090,res-183300,res-203513,res-225950,res-250854,res-278498,res-309183,neoFaults,archFaults,gairFaults,aster1-AlOH-cont,aster2-AlOH,aster3-FeOH-cont,aster4-Ferric-cont,aster5-Ferrous-cont,aster6-Ferrous-index,aster7-MgOH-comp,aster8-MgOH-cont,aster9-green,aster10-kaolin,aster11-opaque,aster12-quartz,aster13-regolith-b3,aster14-regolith-b4,aster15-silica,base16,dem17,dtb18,mag19-2vd,mag20-rtp,mag21-tmi,rad22-dose,rad23-k,rad24-th,rad25-u,grav26,archean27,geol28,random,deposit
0,129.1066488,-26.1359002,1.9959,1.9935,1.9916,1.9898,1.9879,1.9855,1.9824,1.9779,1.9715,1.9623,1.9495,1.9332,1.9145,1.8976,1.8875,1.8869,1.8946,1.9065,1.9185,1.9284,1.9353,1.9396,1.9422,1.944,1.9458,1.9484,1.9522,1.9577,1.9653,1.9752,1.9875,2.0024,2.0198,2.0396,2.0616,2.0853,2.1103,2.136,2.1616,2.1864,2.2095,2.23,2.247,2.2594,2.2661,2.2664,2.2593,2.2449,2.2241,2.199,2.173,2.1509,2.1379,2.1389,2.1574,2.1948,2.2501,2.3199,2.3983,2.4765,2.5425,2.5813,2.578,0.8586957614831674,0.8749968171618799,2.7187812219481833,1.9076087474822998,-9999.0,2.081601858139038,1.3915050029754639,0.7371090650558472,0.7371090650558472,0.9944170713424683,1.0800206661224365,1.358466386795044,1.0233397483825684,0.531949520111084,0.5028460025787354,1.0277527570724487,1.4265247583389282,1.0381584167480469,644.9305419921875,644.4141845703125,-8.987775802612305,0.009442148730158806,784.8259887695312,-88.3648910522461,34.7629280090332,1.2694021463394165,6.065621376037598,38.49238586425781,27.176790237426758,14552.0,17296.0,999.0,1
1,132.7815714,-26.1511442,2.045,2.0651,2.0781,2.0881,2.0972,2.1065,2.1164,2.127,2.1387,2.1514,2.1655,2.1813,2.1991,2.2189,2.2407,2.2637,2.2859,2.3034,2.3138,2.3195,2.3262,2.3367,2.351,2.3683,2.3875,2.4077,2.4282,2.4486,2.4688,2.489,2.5092,2.5297,2.5506,2.572,2.5938,2.6159,2.638,2.6596,2.6803,2.6994,2.7168,2.7325,2.7472,2.7623,2.7801,2.8033,2.8346,2.8753,2.9251,2.9814,3.0399,3.095,3.1407,3.1701,3.177,3.1558,3.1036,3.0209,2.912,2.784,2.647,2.5116,2.3873,0.6071343327966479,0.9364792166461948,1.4686789029378968,2.032987356185913,1.076197862625122,1.982143759727478,1.3277699947357178,0.8454914093017578,0.8454914093017578,1.0408477783203125,1.0592210292816162,1.3777570724487305,0.9489911794662476,-9999.0,0.5042101144790649,0.9613285660743713,1.2729244232177734,1.089279294013977,539.6091918945312,540.2630615234375,-2.700756788253784,0.0032668327912688255,-16.226829528808594,-190.02586364746094,89.42366790771484,3.169630765914917,15.980172157287598,56.65047073364258,-83.54154968261719,14552.0,17068.0,-999.0,1
2,132.8166764,-26.1592022,2.045,2.0651,2.0781,2.0881,2.0972,2.1065,2.1164,2.127,2.1387,2.1514,2.1655,2.1813,2.1991,2.2189,2.2407,2.2637,2.2859,2.3034,2.3138,2.3195,2.3262,2.3367,2.351,2.3683,2.3875,2.4077,2.4282,2.4486,2.4688,2.489,2.5092,2.5297,2.5506,2.572,2.5938,2.6159,2.638,2.6596,2.6803,2.6994,2.7168,2.7325,2.7472,2.7623,2.7801,2.8033,2.8346,2.8753,2.9251,2.9814,3.0399,3.095,3.1407,3.1701,3.177,3.1558,3.1036,3.0209,2.912,2.784,2.647,2.5116,2.3873,0.5775399973936388,0.9145881815359073,1.446255588032613,1.982274055480957,1.050441861152649,-9999.0,1.3681601285934448,-9999.0,0.8226721286773682,-9999.0,-9999.0,1.4574421644210815,-9999.0,-9999.0,0.5018715262413025,0.9343717694282532,1.27329683303833,1.0920076370239258,537.961669921875,537.6266479492188,-2.384946823120117,-0.0033566663041710854,-78.24433135986328,-251.01803588867188,75.96100616455078,2.5254034996032715,15.625917434692383,58.361297607421875,-81.49881744384766,14552.0,17296.0,-999.0,1
3,128.9458688,-26.1793622,1.9978,1.9964,1.9952,1.9941,1.993,1.9917,1.99,1.9876,1.984,1.9789,1.9718,1.9625,1.9517,1.9415,1.9347,1.9333,1.937,1.9437,1.9512,1.9578,1.9631,1.967,1.9702,1.9731,1.9765,1.9807,1.9862,1.9934,2.0024,2.0135,2.0268,2.0424,2.0602,2.0801,2.102,2.1254,2.15,2.1753,2.2007,2.2255,2.249,2.2702,2.2884,2.3024,2.3114,2.3144,2.3108,2.3006,2.2845,2.2646,2.2441,2.2274,2.2195,2.2255,2.2491,2.292,2.3534,2.4297,2.5143,2.5971,2.6641,2.6987,2.6844,0.8103942516545789,0.8267841677151198,2.8136028428665765,1.9477053880691528,-9999.0,2.035555601119995,1.244356632232666,0.839002251625061,0.839002251625061,1.0055866241455078,1.0615599155426025,1.3323308229446411,1.0129729509353638,0.60317462682724,0.5026426911354065,0.9844444394111633,1.225000023841858,1.0126183032989502,639.9058837890625,641.9719848632812,-9999.0,-0.003477758262306452,17.677183151245117,873.9835205078125,46.321651458740234,-9999.0,-9999.0,50.57726287841797,33.863502502441406,-9999.0,-9999.0,-999.0,1
4,132.5498074,-26.1855002,2.0694,2.0999,2.1196,2.1346,2.1483,2.1621,2.1766,2.1921,2.2087,2.2266,2.246,2.2674,2.2908,2.3163,2.3439,2.374,2.4066,2.4409,2.473,2.4992,2.5221,2.5443,2.5675,2.5929,2.6208,2.6503,2.6801,2.7092,2.7372,2.7642,2.7902,2.8155,2.84,2.8637,2.8866,2.9084,2.929,2.9483,2.9663,2.983,2.9988,3.0141,3.0295,3.046,3.0648,3.0868,3.113,3.1434,3.1768,3.2109,3.2422,3.2662,3.2782,3.2736,3.2481,3.1987,3.1237,3.0242,2.9033,2.767,2.6239,2.4841,2.3574,0.6521309515311682,1.0269908457505978,1.4997933875955831,1.9770498275756836,1.0649769306182861,-9999.0,1.3900387287139893,-9999.0,0.8622045516967773,-9999.0,-9999.0,1.4273369312286377,-9999.0,-9999.0,0.5008557438850403,0.8914370536804199,1.236914873123169,1.0403695106506348,598.359130859375,599.4627685546875,-0.17068567872047424,-0.0004955607000738382,175.9069366455078,71.43277740478516,47.19453430175781,2.367706775665283,6.8746843338012695,29.7949275970459,-90.97037506103516,14552.0,17296.0,-999.0,1
5,130.3368367,-26.1919122,2.0025,2.0035,2.0041,2.0045,2.0049,2.0053,2.0056,2.0055,2.0049,2.0032,1.9994,1.9925,1.9813,1.9662,1.9499,1.9382,1.9381,1.9517,1.9736,1.9964,2.0161,2.0321,2.0457,2.0583,2.0712,2.0853,2.1013,2.1195,2.1403,2.1639,2.1903,2.2196,2.2517,2.2865,2.3238,2.3634,2.4052,2.449,2.4944,2.5412,2.589,2.6372,2.6849,2.7313,2.7749,2.8143,2.8476,2.8732,2.8892,2.8941,2.8868,2.867,2.8352,2.7927,2.7418,2.6851,2.6249,2.5635,2.5031,2.4461,2.3947,2.349,2.3049,0.9250456884837546,1.3272037199360078,1.924557508982529,2.0092360973358154,1.0466969013214111,-9999.0,1.2982940673828125,-9999.0,0.8722443580627441,-9999.0,-9999.0,1.4878811836242676,-9999.0,-9999.0,0.5023802518844604,0.9240778684616089,1.1993789672851562,1.0643998384475708,649.90966796875,650.0415649414062,-10.429306983947754,0.0002018476079683751,-120.1616439819336,-465.80206298828125,71.14654541015625,3.4611475467681885,8.523151397705078,52.650428771972656,-53.87553405761719,14552.0,17296.0,-999.0,1
6,131.9688105,-26.2243002,2.0199,2.0292,2.0355,2.0405,2.045,2.0495,2.0542,2.0592,2.0646,2.0703,2.0764,2.0829,2.0899,2.0973,2.1052,2.1133,2.1213,2.1294,2.1383,2.15,2.164,2.1795,2.196,2.2134,2.2314,2.2498,2.2686,2.2879,2.308,2.3292,2.3515,2.3753,2.4007,2.4278,2.4567,2.4875,2.5202,2.5547,2.591,2.6292,2.669,2.7105,2.7537,2.7985,2.8451,2.893,2.9421,2.9913,3.0394,3.0842,3.1233,3.1534,3.1711,3.1729,3.1553,3.1155,3.0519,2.9643,2.8547,2.7278,2.5911,2.4549,2.3299,0.34593450181282276,1.061466733652356,1.562439077643301,1.9702993631362915,1.0794165134429932,2.16550612449646,1.0932239294052124,0.8292723894119263,0.8292723894119263,0.8956208229064941,1.1090655326843262,1.3386644124984741,0.9839459657669067,0.6885451078414917,0.5030747652053833,1.1980061531066895,1.2905104160308838,1.018617033958435,697.6246337890625,694.417236328125,-9999.0,0.001216944307088852,-80.42539978027344,-56.95389938354492,31.601926803588867,1.3866188526153564,4.6085004806518555,33.14191818237305,-83.87872314453125,14552.0,17056.0,999.0,1
7,129.9000447,-26.2295582,2.016,2.0236,2.0289,2.0331,2.0372,2.0414,2.046,2.0512,2.0574,2.0648,2.0742,2.0863,2.1019,2.1225,2.1505,2.1803,2.2014,2.2089,2.2073,2.2045,2.2055,2.2117,2.2224,2.2363,2.2522,2.2696,2.2881,2.3075,2.3277,2.3486,2.3702,2.3923,2.4148,2.4374,2.4601,2.4824,2.5043,2.5254,2.5456,2.5646,2.5822,2.5982,2.6124,2.6245,2.634,2.6403,2.6425,2.6396,2.631,2.6161,2.5949,2.568,2.5366,2.5023,2.4673,2.4337,2.404,2.3803,2.3641,2.3559,2.3531,2.3495,2.3351,1.096318683441075,1.096318683441075,2.113250089501002,1.9745018482208252,1.0225635766983032,-9999.0,1.068270206451416,-9999.0,0.9107780456542969,-9999.0,-9999.0,1.7101595401763916,-9999.0,0.54799485206604,0.5025827884674072,1.0647375583648682,1.1368634700775146,1.0507756471633911,761.55859375,760.5376586914062,-9999.0,0.0011714186985045671,78.40263366699219,-26.458606719970703,35.72773742675781,1.4795000553131104,5.2369890213012695,37.5523681640625,-5.228365898132324,14552.0,17056.0,-999.0,1
8,129.0255458,-26.2597342,1.9959,1.9935,1.9916,1.9898,1.9879,1.9855,1.9824,1.9779,1.9715,1.9623,1.9495,1.9332,1.9145,1.8976,1.8875,1.8869,1.8946,1.9065,1.9185,1.9284,1.9353,1.9396,1.9422,1.944,1.9458,1.9484,1.9522,1.9577,1.9653,1.9752,1.9875,2.0024,2.0198,2.0396,2.0616,2.0853,2.1103,2.136,2.1616,2.1864,2.2095,2.23,2.247,2.2594,2.2661,2.2664,2.2593,2.2449,2.2241,2.199,2.173,2.1509,2.1379,2.1389,2.1574,2.1948,2.2501,2.3199,2.3983,2.4765,2.5425,2.5813,2.578,0.7286607442762558,0.7450767327685974,2.7011844026399605,1.7922158241271973,-9999.0,2.220921754837036,1.0115234851837158,0.8176240921020508,0.7391946911811829,0.9107261896133423,1.1248257160186768,1.3857648372650146,1.0470668077468872,0.7151142358779907,0.5022321939468384,1.4319305419921875,1.4517247676849365,0.9932481050491333,617.2694091796875,626.1968994140625,-5.409492492675781,-0.0017548631876707077,-12.873050689697266,-706.5816650390625,5.48660945892334,0.3033662438392639,0.9830487966537476,18.34313201904297,51.63916778564453,14552.0,17296.0,-999.0,1
9,130.7343046,-26.4257412,2.0088,2.0127,2.0153,2.0174,2.0193,2.0214,2.0234,2.0256,2.0276,2.0293,2.0305,2.0312,2.0323,2.0356,2.0428,2.0541,2.0685,2.0846,2.1007,2.1165,2.1322,2.1485,2.1659,2.185,2.2061,2.2294,2.255,2.2829,2.3132,2.3456,2.3802,2.4168,2.4552,2.4952,2.5366,2.5793,2.6229,2.6672,2.7118,2.7565,2.8006,2.8437,2.8848,2.9232,2.9575,2.9867,3.0093,3.0241,3.0299,3.0259,3.0119,2.9881,2.9553,2.915,2.8682,2.8158,2.7573,2.6915,2.6177,2.5373,2.4545,2.3746,2.3007,0.5162963506832211,1.10859669236202,1.5685534762850084,1.9278128147125244,-9999.0,2.135133981704712,1.5761735439300537,0.9895684719085693,0.9895684719085693,0.9325675964355469,1.0681231021881104,1.344722867012024,1.0140204429626465,0.44308942556381226,0.5055288076400757,0.6749712228775024,1.0586752891540527,1.1098988056182861,591.124267578125,591.8533325195312,-9999.0,0.004431232810020447,961.4122924804688,40.704742431640625,25.405975341796875,1.0199198722839355,4.487732887268066,30.667905807495117,30.318994522094727,14552.0,5694.0,999.0,1
