,lon,lat,res-25,res-77,res-136,res-201,res-273,res-353,res-442,res-541,res-650,res-772,res-907,res-1056,res-1223,res-1407,res-1612,res-1839,res-2092,res-2372,res-2683,res-3028,res-3411,res-3837,res-4309,res-4833,res-5414,res-6060,res-6776,res-7572,res-8455,res-9435,res-10523,res-11730,res-13071,res-14559,res-16210,res-18043,res-20078,res-22337,res-24844,res-27627,res-30716,res-34145,res-37951,res-42175,res-46865,res-52070,res-57847,res-64261,res-71379,res-79281,res-88052,res-97788,res-108595,res-120590,res-133905,res-148685,res-165090,res-183300,res-203513,res-225950,res-250854,res-278498,res-309183,neoFaults,archFaults,gairFaults,aster1-AlOH-cont,aster2-AlOH,aster3-FeOH-cont,aster4-Ferric-cont,aster5-Ferrous-cont,aster6-Ferrous-index,aster7-MgOH-comp,aster8-MgOH-cont,aster9-green,aster10-kaolin,aster11-opaque,aster12-quartz,aster13-regolith-b3,aster14-regolith-b4,aster15-silica,base16,dem17,dtb18,mag19-2vd,mag20-rtp,mag21-tmi,rad22-dose,rad23-k,rad24-th,rad25-u,grav26,archean27,geol28,random,deposit
0,135.878805,-28.1841873,1.9859,2.0484,2.1102,2.1517,2.1795,2.2025,2.2264,2.2542,2.2882,2.3306,2.3839,2.4503,2.5304,2.6222,2.7199,2.8135,2.8894,2.9312,2.9237,2.8714,2.8124,2.7709,2.7287,2.659,2.5585,2.4403,2.3161,2.1912,2.0683,1.9509,1.8446,1.7568,1.696,1.6708,1.6872,1.7444,1.8312,1.9242,1.9919,2.0025,1.9315,1.7597,1.4713,1.0972,0.8123,0.8604,1.1797,1.5619,1.9046,2.1857,2.4097,2.5837,2.7123,2.7984,2.8453,2.8573,2.8401,2.7991,2.7399,2.6668,2.5839,2.4945,2.402,0.019893774327073024,0.017407914199147192,0.9600853753922723,2.104069709777832,1.1226861476898193,1.966178059577942,1.4566984176635742,0.9328338503837585,0.924118161201477,1.0436828136444092,1.0112543106079102,1.2503719329833984,0.8986219167709351,-9999.0,0.5112956762313843,0.8364952802658081,1.2149845361709595,1.1859222650527954,115.90859985351562,117.48270416259766,-31.018383026123047,-0.0001861943310359493,131.93370056152344,202.63424682617188,37.75678253173828,1.0344904661178589,7.840265274047852,49.614036560058594,3.4347004890441895,18076,15514,999.0,1
1,135.859249,-28.0370783,2.0086,2.0327,2.0525,2.0642,2.0711,2.0761,2.0813,2.0874,2.0952,2.1057,2.1201,2.1396,2.1652,2.1965,2.2311,2.2635,2.2855,2.2875,2.2639,2.2216,2.1841,2.1702,2.1751,2.1803,2.173,2.1491,2.109,2.0547,1.9886,1.914,1.835,1.7574,1.6887,1.6374,1.6111,1.6132,1.64,1.6788,1.7096,1.7089,1.6546,1.5313,1.34,1.1264,1.0162,1.1404,1.4329,1.7586,2.0517,2.2969,2.4959,2.6532,2.772,2.855,2.9049,2.9247,2.9179,2.8878,2.8376,2.7702,2.6887,2.596,2.4953,0.029271923881207102,0.03361063024114338,1.0307678445917507,1.9388892650604248,-9999.0,2.0462329387664795,1.4995031356811523,0.8918834328651428,0.8918834328651428,1.0433285236358643,1.0634421110153198,1.2833666801452637,0.9813112020492554,-9999.0,0.5150647163391113,0.8287993669509888,1.2424168586730957,1.1864013671875,60.03352355957031,61.70793151855469,-36.214874267578125,0.0006581353954970837,230.61505126953125,443.78900146484375,24.60064697265625,0.36829206347465515,4.534801483154297,40.01685333251953,7.248996734619141,18076,18076,999.0,1
2,135.856832,-28.4300233,2.0731,2.1408,2.1884,2.2113,2.2202,2.2233,2.2244,2.2247,2.2246,2.225,2.2269,2.2309,2.2341,2.2253,2.1835,2.083,1.9034,1.6396,1.3117,0.9973,0.8329,0.8926,1.1514,1.5034,1.8635,2.1872,2.4425,2.6127,2.6966,2.7052,2.6576,2.5758,2.4805,2.3888,2.3125,2.257,2.2188,2.185,2.1335,2.036,1.8583,1.5532,1.0694,0.4539,0.0276,0.2096,0.7918,1.3906,1.8696,2.2243,2.4788,2.654,2.7647,2.8221,2.8361,2.816,2.7703,2.7064,2.6307,2.5478,2.4616,2.3754,2.2923,0.08325985568281084,0.13281696141567514,0.8104200165366111,2.0093905925750732,1.072026014328003,1.9964940547943115,1.4044013023376465,0.8558120131492615,0.8628102540969849,1.0453904867172241,1.039283275604248,1.4153046607971191,0.9539831876754761,-9999.0,0.51322340965271,0.8849269151687622,1.2427332401275635,1.2260931730270386,43.96690368652344,147.31454467773438,-9999.0,3.604191078920849e-05,24.43657684326172,31.72433853149414,32.19839859008789,0.5345765352249146,7.567582130432129,54.34331512451172,-11.070704460144043,18076,8602,-999.0,1
3,137.8945576,-29.7916144,2.2674,2.3472,2.366,2.3636,2.3565,2.3483,2.3374,2.3211,2.2967,2.2621,2.2175,2.1717,2.1375,2.1071,2.0551,1.9636,1.8211,1.6107,1.3077,0.8963,0.4352,0.1798,0.4621,1.1166,1.7982,2.352,2.751,3.0209,3.1943,3.2994,3.3578,3.385,3.3933,3.3924,3.3884,3.3837,3.377,3.3647,3.3427,3.306,3.2491,3.1663,3.0533,2.9102,2.7452,2.5782,2.439,2.357,2.3463,2.3984,2.4894,2.5906,2.6747,2.7199,2.7144,2.6582,2.562,2.4423,2.3169,2.202,2.1088,2.0415,1.9974,0.01828451507453443,0.21458902318074555,1.3124464512267993,2.106872797012329,1.1261887550354004,2.0143837928771973,1.0712172985076904,0.9409469366073608,0.9409469366073608,0.997033953666687,1.0870234966278076,1.2686094045639038,0.8963325023651123,0.7376968860626221,0.507084310054779,1.117377519607544,1.196864366531372,1.1183639764785767,93.87373352050781,92.76528930664062,-9999.0,-5.4133338380779605e-06,-360.50970458984375,225.39137268066406,52.20856475830078,1.6189608573913574,8.146821022033691,58.011871337890625,-30.206279754638672,19218,15514,-999.0,1
4,139.3329845,-29.6897335,1.9984,1.9731,1.9303,1.8745,1.8039,1.7122,1.5926,1.4449,1.2852,1.151,1.0802,1.0793,1.1374,1.2585,1.4553,1.7207,2.0204,2.297,2.4757,2.4822,2.3414,2.3007,2.3299,2.3978,2.4158,2.3349,2.1974,2.0621,1.9578,1.8885,1.848,1.8287,1.8235,1.8267,1.833,1.8379,1.837,1.8264,1.8038,1.7702,1.7322,1.704,1.7061,1.7591,1.8725,2.0364,2.2253,2.4099,2.567,2.6834,2.7544,2.7821,2.7716,2.7296,2.6626,2.5768,2.4779,2.3721,2.2662,2.1675,2.0826,2.0155,1.9668,0.11765180375423903,0.15496969354161602,2.6664694171961996,2.038529634475708,1.1020768880844116,1.977799654006958,1.4213101863861084,0.89300936460495,0.89300936460495,1.0565249919891357,1.0156112909317017,1.2682087421417236,0.9359983205795288,-9999.0,0.513043224811554,0.8684296607971191,1.2341718673706055,1.1634018421173096,-169.8765869140625,99.53807067871094,-9999.0,-1.3031972230237443e-06,-372.98236083984375,-144.7142333984375,32.550315856933594,0.6742523312568665,5.671599388122559,54.38953399658203,-15.659889221191406,19216,6658,999.0,1
5,138.0659036,-29.7421294,2.0439,2.0461,2.035,2.0199,2.0032,1.9843,1.9606,1.929,1.8859,1.8294,1.7658,1.7206,1.7249,1.7528,1.7509,1.7016,1.5996,1.4248,1.1288,0.6589,0.0727,-0.2622,0.1,0.801,1.4354,1.8893,2.1795,2.3601,2.4694,2.5351,2.5774,2.6077,2.6319,2.6543,2.6775,2.7034,2.7323,2.7635,2.7957,2.8262,2.8517,2.8681,2.8705,2.855,2.8204,2.7706,2.7158,2.6701,2.6463,2.6492,2.6746,2.711,2.7433,2.7559,2.7376,2.684,2.5988,2.4915,2.375,2.2623,2.164,2.0862,2.0294,0.06738996438367247,0.3790485815183543,1.4839020196037045,2.02394962310791,1.1221983432769775,2.0022225379943848,1.385798454284668,0.9156021475791931,0.9156021475791931,1.0489799976348877,1.0721287727355957,1.271158218383789,0.93453049659729,-9999.0,0.5071976184844971,0.8846046924591064,1.2256965637207031,1.0744507312774658,71.93822479248047,74.46269226074219,-9999.0,0.0005907635786570609,-270.853271484375,76.44181823730469,63.478736877441406,1.734666109085083,12.049921989440918,71.55924987792969,-21.199264526367188,19218,15524,999.0,1
6,137.8045616,-30.0435524,2.2167,2.277,2.2811,2.2641,2.2414,2.216,2.1863,2.1494,2.1025,2.0427,1.9663,1.8689,1.7448,1.586,1.3833,1.1276,0.8161,0.469,0.1603,0.0274,0.1732,0.5341,0.9563,1.3312,1.6284,1.8551,2.0312,2.181,2.3189,2.4495,2.5748,2.6951,2.8098,2.9157,3.0059,3.0693,3.0941,3.0732,3.006,2.896,2.7487,2.5695,2.3655,2.1516,1.9571,1.8229,1.787,1.8625,2.0289,2.2441,2.4629,2.6444,2.7553,2.7771,2.712,2.5803,2.4111,2.2338,2.076,1.959,1.8916,1.8677,1.8712,0.033460936789342685,0.007798581941199204,1.1112307660877996,2.0728867053985596,1.1240849494934082,1.9848190546035767,1.6334155797958374,0.8805344700813293,0.893851637840271,1.033089518547058,1.030166506767273,1.2709567546844482,0.9116894006729126,-9999.0,0.5142922401428223,0.7744780778884888,1.258005142211914,1.176947832107544,-2215.53857421875,126.73861694335938,-9999.0,9.777612604011665e-07,192.25918579101562,552.0015258789062,44.389495849609375,1.0805528163909912,7.86421012878418,60.844520568847656,-29.01948356628418,18274,15524,-999.0,1
7,134.0960351,-30.1232603,3.4639,3.9193,4.0597,4.0997,4.1281,4.1646,4.2062,4.2471,4.282,4.3064,4.3141,4.2981,4.2535,4.1872,4.1316,4.1456,4.2709,4.4856,4.7332,4.9675,5.1622,5.3073,5.4015,5.4571,5.4768,5.4647,5.4306,5.382,5.3214,5.2487,5.1637,5.0674,4.9625,4.8526,4.7418,4.6339,4.5327,4.4417,4.3641,4.3024,4.2576,4.2293,4.2147,4.2091,4.206,4.1974,4.1747,4.131,4.0617,3.9661,3.8457,3.7004,3.5237,3.2986,2.9969,2.585,2.0431,1.4252,0.951,0.8732,1.1138,1.4428,1.7219,0.857602215611538,0.10501471685107136,0.11993694840556887,2.0538997650146484,1.062436580657959,1.975327968597412,1.3686919212341309,0.9307711720466614,0.8704020977020264,1.0339237451553345,1.0194920301437378,1.2356975078582764,0.9452252388000488,-9999.0,0.510428786277771,0.9087567329406738,1.2265746593475342,1.127638816833496,178.90603637695312,182.58694458007812,-31.975584030151367,0.00011180140427313745,-409.679443359375,199.00579833984375,25.58043670654297,0.306209921836853,4.953022003173828,50.62725830078125,-14.185890197753906,18184,18432,999.0,1
8,136.3298378,-30.2052234,1.913,1.8538,1.8027,1.7569,1.7119,1.664,1.6098,1.547,1.4736,1.389,1.2952,1.1966,1.1022,1.0268,0.989,1.0056,1.0817,1.2057,1.3607,1.5389,1.7349,1.9372,2.1302,2.3011,2.4436,2.558,2.65,2.727,2.7948,2.856,2.9119,2.9635,3.0117,3.057,3.0994,3.1386,3.1738,3.2042,3.2292,3.2485,3.2619,3.2694,3.2709,3.267,3.2595,3.2508,3.2441,3.2423,3.2475,3.2584,3.2674,3.2585,3.2093,3.1001,2.9251,2.6972,2.4444,2.2054,2.0231,1.9219,1.893,1.9084,1.9406,0.33708241399937366,0.12715805755114393,0.03478806174171431,2.056364059448242,1.1146745681762695,1.9954993724822998,1.2024402618408203,0.9234151840209961,0.9234151840209961,1.034372091293335,1.0372939109802246,1.2083849906921387,0.9228695631027222,-9999.0,0.5155431032180786,1.0045502185821533,1.2069342136383057,1.1775920391082764,-497.77947998046875,85.30857849121094,-9999.0,-2.2833528419141658e-05,-380.78765869140625,-172.08587646484375,31.36859130859375,0.9235966205596924,5.594595909118652,48.865882873535156,-24.403430938720703,17354,10624,999.0,1
9,138.8403674,-30.9281495,2.0914,2.1334,2.1525,2.1595,2.1623,2.1642,2.1662,2.168,2.1694,2.1701,2.17,2.1689,2.1668,2.1638,2.1597,2.1542,2.1454,2.13,2.1044,2.0638,2.0014,1.9142,1.8157,1.7474,1.7427,1.7953,1.8902,2.019,2.1636,2.301,2.4155,2.4963,2.5363,2.5354,2.5044,2.4631,2.4319,2.4233,2.4392,2.4742,2.5215,2.5747,2.6254,2.662,2.6712,2.6425,2.5704,2.4549,2.3006,2.1141,1.9036,1.6789,1.4545,1.2543,1.1146,1.0723,1.1367,1.2707,1.4174,1.5384,1.6254,1.6875,1.7358,0.04242264670464826,0.4665690243571264,1.638862085630828,1.9678854942321777,1.0794285535812378,-9999.0,1.5375919342041016,-9999.0,0.9451718926429749,-9999.0,-9999.0,1.4756526947021484,-9999.0,0.4407642185688019,0.5052424669265747,0.7778928279876709,1.196035623550415,1.033393144607544,481.38421630859375,496.79248046875,-9999.0,-1.0305214345862623e-05,-363.37261962890625,-33.782432556152344,53.67290496826172,1.2057400941848755,11.300041198730469,58.515830993652344,-3.73087739944458,19218,13222,999.0,1
