,lon,lat,res-25,res-77,res-136,res-201,res-273,res-353,res-442,res-541,res-650,res-772,res-907,res-1056,res-1223,res-1407,res-1612,res-1839,res-2092,res-2372,res-2683,res-3028,res-3411,res-3837,res-4309,res-4833,res-5414,res-6060,res-6776,res-7572,res-8455,res-9435,res-10523,res-11730,res-13071,res-14559,res-16210,res-18043,res-20078,res-22337,res-24844,res-27627,res-30716,res-34145,res-37951,res-42175,res-46865,res-52070,res-57847,res-64261,res-71379,res-79281,res-88052,res-97788,res-108595,res-120590,res-133905,res-148685,res-165090,res-183300,res-203513,res-225950,res-250854,res-278498,res-309183,neoFaults,archFaults,gairFaults,aster1-AlOH-cont,aster2-AlOH,aster3-FeOH-cont,aster4-Ferric-cont,aster5-Ferrous-cont,aster6-Ferrous-index,aster7-MgOH-comp,aster8-MgOH-cont,aster9-green,aster10-kaolin,aster11-opaque,aster12-quartz,aster13-regolith-b3,aster14-regolith-b4,aster15-silica,base16,dem17,dtb18,mag19-2vd,mag20-rtp,mag21-tmi,rad22-dose,rad23-k,rad24-th,rad25-u,grav26,archean27,geol28,random,deposit
0,129.1017308,-26.1167612,1.9959,1.9935,1.9916,1.9898,1.9879,1.9855,1.9824,1.9779,1.9715,1.9623,1.9495,1.9332,1.9145,1.8976,1.8875,1.8869,1.8946,1.9065,1.9185,1.9284,1.9353,1.9396,1.9422,1.944,1.9458,1.9484,1.9522,1.9577,1.9653,1.9752,1.9875,2.0024,2.0198,2.0396,2.0616,2.0853,2.1103,2.136,2.1616,2.1864,2.2095,2.23,2.247,2.2594,2.2661,2.2664,2.2593,2.2449,2.2241,2.199,2.173,2.1509,2.1379,2.1389,2.1574,2.1948,2.2501,2.3199,2.3983,2.4765,2.5425,2.5813,2.578,0.8771057514312681,0.8934227822119063,2.735188216441052,1.9282119274139404,0.991428554058075,-9999.0,1.2306641340255737,-9999.0,0.8002201318740845,-9999.0,-9999.0,1.4729139804840088,-9999.0,0.5518683791160583,0.5041463971138,1.0268651247024536,1.2639167308807373,1.088574767112732,649.530029296875,648.9878540039062,-15.084885597229004,0.0005073685315437615,425.480224609375,211.5553436279297,39.36227035522461,1.603420376777649,6.339658737182617,37.40280532836914,27.58572006225586,14552.0,17056.0,999.0,1
1,129.1066488,-26.1359002,1.9959,1.9935,1.9916,1.9898,1.9879,1.9855,1.9824,1.9779,1.9715,1.9623,1.9495,1.9332,1.9145,1.8976,1.8875,1.8869,1.8946,1.9065,1.9185,1.9284,1.9353,1.9396,1.9422,1.944,1.9458,1.9484,1.9522,1.9577,1.9653,1.9752,1.9875,2.0024,2.0198,2.0396,2.0616,2.0853,2.1103,2.136,2.1616,2.1864,2.2095,2.23,2.247,2.2594,2.2661,2.2664,2.2593,2.2449,2.2241,2.199,2.173,2.1509,2.1379,2.1389,2.1574,2.1948,2.2501,2.3199,2.3983,2.4765,2.5425,2.5813,2.578,0.8586957614831674,0.8749968171618799,2.7187812219481833,1.9076087474822998,-9999.0,2.081601858139038,1.3915050029754639,0.7371090650558472,0.7371090650558472,0.9944170713424683,1.0800206661224365,1.358466386795044,1.0233397483825684,0.531949520111084,0.5028460025787354,1.0277527570724487,1.4265247583389282,1.0381584167480469,644.9305419921875,644.4141845703125,-8.987775802612305,0.009442148730158806,784.8259887695312,-88.3648910522461,34.7629280090332,1.2694021463394165,6.065621376037598,38.49238586425781,27.176790237426758,14552.0,17296.0,-999.0,1
2,129.1756098,-26.0109782,1.9954,1.9926,1.9902,1.988,1.9855,1.9823,1.9778,1.9714,1.962,1.9488,1.9307,1.9078,1.8824,1.8611,1.8521,1.8578,1.8739,1.8932,1.9106,1.9239,1.9327,1.938,1.9411,1.9432,1.9451,1.9477,1.9515,1.957,1.9646,1.9746,1.9871,2.0022,2.0199,2.04,2.0623,2.0863,2.1115,2.137,2.1622,2.1862,2.208,2.2268,2.2417,2.2519,2.2563,2.254,2.2444,2.2274,2.2038,2.1757,2.1467,2.1213,2.1047,2.1015,2.1149,2.146,2.1939,2.2554,2.3255,2.3965,2.4581,2.4968,2.499,0.9926268730682376,1.008797815642045,2.753673604000064,1.8839120864868164,-9999.0,-9999.0,1.396781325340271,-9999.0,0.8204867243766785,-9999.0,-9999.0,1.542378544807434,-9999.0,0.47554832696914673,0.5050537586212158,0.9411436319351196,1.2570555210113525,1.080017328262329,689.04736328125,704.358154296875,-30.6717586517334,-0.000895175093319267,-680.6435546875,149.79568481445312,26.980792999267578,0.9861512184143066,5.150241851806641,31.664337158203125,-6.381483554840088,14552.0,17056.0,999.0,1
3,128.9380348,-26.0423782,1.9978,1.9964,1.9952,1.9941,1.993,1.9917,1.99,1.9876,1.984,1.9789,1.9718,1.9625,1.9517,1.9415,1.9347,1.9333,1.937,1.9437,1.9512,1.9578,1.9631,1.967,1.9702,1.9731,1.9765,1.9807,1.9862,1.9934,2.0024,2.0135,2.0268,2.0424,2.0602,2.0801,2.102,2.1254,2.15,2.1753,2.2007,2.2255,2.249,2.2702,2.2884,2.3024,2.3114,2.3144,2.3108,2.3006,2.2845,2.2646,2.2441,2.2274,2.2195,2.2255,2.2491,2.292,2.3534,2.4297,2.5143,2.5971,2.6641,2.6987,2.6844,0.9475965431249065,0.9639878564206407,2.9072652488278465,1.9906760454177856,1.0993117094039917,-9999.0,1.3369075059890747,-9999.0,0.9438581466674805,-9999.0,-9999.0,1.4210103750228882,-9999.0,0.5263824462890625,0.5022321343421936,0.8711897730827332,1.1647001504898071,1.0683090686798096,636.1200561523438,652.8370361328125,-4.788809299468994,-0.0025631145108491182,150.2808074951172,416.2962951660156,43.35826110839844,-9999.0,-9999.0,50.829315185546875,3.185065984725952,-9999.0,-9999.0,-999.0,1
4,133.7000223,-26.9779633,1.9932,1.9896,1.987,1.9848,1.9827,1.9805,1.9782,1.9756,1.9727,1.9695,1.9658,1.9618,1.9572,1.952,1.9462,1.9397,1.9322,1.9239,1.9143,1.9035,1.8912,1.8773,1.8618,1.8445,1.8255,1.805,1.7829,1.7592,1.7339,1.7071,1.6791,1.6504,1.6218,1.5941,1.5683,1.5456,1.5273,1.5147,1.5094,1.5129,1.5268,1.5529,1.5925,1.6471,1.7176,1.8046,1.908,2.0269,2.1592,2.3019,2.4507,2.5998,2.7421,2.8692,2.9717,3.0406,3.0687,3.053,2.9962,2.9061,2.7937,2.6705,2.5458,0.0034923675687359964,0.035130352721638836,0.5618427137108852,2.06695556640625,1.049342155456543,1.915761947631836,1.620687484741211,0.7888608574867249,0.7888608574867249,1.0821218490600586,1.0554040670394897,1.3361897468566895,0.9449810981750488,-9999.0,0.5026217103004456,0.8209153413772583,1.3303682804107666,1.0778900384902954,267.1446533203125,338.072021484375,-9999.0,-9.382210919284262e-06,-214.927978515625,154.56790161132812,63.478843688964844,2.0340089797973633,10.792566299438477,59.4443359375,-72.83686065673828,14542.0,15524.0,-999.0,1
5,130.1095627,-26.3023082,2.007,2.0102,2.0124,2.0141,2.0157,2.0173,2.019,2.0206,2.0221,2.0232,2.0234,2.0219,2.0178,2.0109,2.0036,2.0008,2.0082,2.0251,2.0448,2.0626,2.0775,2.0905,2.1027,2.1152,2.1286,2.1432,2.1595,2.1775,2.1974,2.2194,2.2434,2.2694,2.2974,2.3271,2.3586,2.3915,2.4257,2.4609,2.4969,2.5333,2.5697,2.6056,2.6404,2.6732,2.7031,2.729,2.7495,2.7634,2.7693,2.7663,2.7537,2.7315,2.7002,2.6612,2.6164,2.5685,2.5201,2.4739,2.4323,2.3973,2.369,2.3443,2.3159,1.1140249917563352,1.1406425896239611,1.9355957595615771,1.9519158601760864,1.079534888267517,-9999.0,1.1814584732055664,-9999.0,0.8865740299224854,-9999.0,-9999.0,1.4799282550811768,-9999.0,0.584141731262207,0.5034288167953491,1.0017356872558594,1.1836414337158203,1.0417077541351318,710.0186767578125,711.2283935546875,-1.9730241298675537,-0.0014265991048887372,236.05938720703125,743.5813598632812,41.934104919433594,2.1426994800567627,4.5591139793396,40.26406478881836,-2.560800790786743,14552.0,17296.0,999.0,1
6,133.9128492,-28.8057393,2.1931,2.2451,2.2528,2.2476,2.241,2.2351,2.2289,2.2217,2.2133,2.2044,2.1958,2.1891,2.1864,2.1895,2.1997,2.2155,2.2319,2.2374,2.2231,2.1957,2.1675,2.136,2.0939,2.0449,1.9922,1.9824,2.1006,2.2871,2.4668,2.6261,2.7653,2.8833,2.9805,3.0597,3.1253,3.1813,3.2309,3.2751,3.3132,3.3425,3.359,3.357,3.3304,3.2732,3.1811,3.0551,2.9048,2.7463,2.5919,2.4503,2.3315,2.2461,2.1958,2.1712,2.1582,2.1459,2.1286,2.1052,2.0774,2.049,2.0245,2.0074,1.9982,0.2350967623236178,0.018328697810788233,0.11501630294288685,2.05908203125,1.0656507015228271,2.0264365673065186,1.323365569114685,0.8817920684814453,0.8817920684814453,0.9783529043197632,1.0549499988555908,1.2272968292236328,0.9424334168434143,0.6998584270477295,0.5065526962280273,0.9189980030059814,1.2108125686645508,1.077185034751892,55.389312744140625,220.51251220703125,-166.29608154296875,0.10494227707386017,17429.833984375,11634.849609375,41.167755126953125,0.38141965866088867,12.398838996887207,50.027565002441406,7.690001487731934,18448.0,8042.0,999.0,1
7,134.2523951,-29.2112173,1.7806,1.879,1.9949,2.0587,2.0836,2.0924,2.099,2.1089,2.1218,2.1345,2.1407,2.1299,2.0849,1.9811,1.7927,1.5183,1.2314,1.109,1.2695,1.6484,2.1445,2.6105,2.9401,3.0972,3.1325,3.098,3.0329,2.9642,2.9008,2.8432,2.793,2.7561,2.7389,2.7446,2.7708,2.8107,2.8544,2.8905,2.9067,2.8893,2.8219,2.6848,2.4559,2.1181,1.683,1.2347,0.9387,0.9091,1.0845,1.3373,1.576,1.7592,1.8777,1.9361,1.9458,1.9252,1.8961,1.8773,1.8772,1.8939,1.9213,1.9529,1.9823,0.3712195793664177,0.009477476188320545,0.15841818734897734,2.0826356410980225,1.0371778011322021,1.9550195932388306,1.4799612760543823,0.8816438317298889,0.8771514892578125,1.0291848182678223,1.0168622732162476,1.3710840940475464,0.9375388622283936,-9999.0,0.5092559456825256,0.7996435165405273,1.182401180267334,1.1655291318893433,122.42815399169922,158.3021240234375,-34.07377243041992,0.00580314127728343,-61.190452575683594,1254.964111328125,19.409074783325195,0.318608820438385,4.618226051330566,43.8762321472168,25.70574188232422,18080.0,8602.0,999.0,1
8,134.6357331,-29.2347423,2.7666,2.9479,2.9722,2.9528,2.929,2.9061,2.8797,2.8446,2.7956,2.7268,2.6291,2.488,2.2796,1.9698,1.5234,0.9429,0.3468,-0.0051,0.0541,0.4748,1.1301,1.7996,2.3339,2.6818,2.9185,3.0894,3.2154,3.3313,3.436,3.5069,3.5343,3.5246,3.49,3.4386,3.3725,3.2877,3.1781,3.0382,2.8667,2.666,2.4389,2.1916,1.9388,1.7057,1.5287,1.4478,1.4839,1.6141,1.7833,1.9439,2.0708,2.1562,2.1993,2.2028,2.1742,2.1276,2.0807,2.0478,2.033,2.0319,2.0379,2.0455,2.0506,0.7389903688216383,0.012982628751593457,0.05983123729407553,2.029820442199707,1.1049249172210693,2.0324034690856934,1.481534481048584,0.883293628692627,0.883293628692627,1.0046520233154297,1.0482053756713867,1.2577844858169556,0.9385434985160828,-9999.0,0.5135189294815063,0.8468198180198669,1.2513749599456787,1.162062644958496,96.38780212402344,162.9613037109375,-74.62287902832031,0.03153613209724426,5784.06103515625,7087.94775390625,39.67119216918945,0.7403918504714966,8.068307876586914,60.9111328125,13.917691230773926,18080.0,6658.0,-999.0,1
9,135.001039,-29.3828063,2.0521,2.0358,2.0055,1.9747,1.9452,1.9147,1.8807,1.8411,1.7942,1.7389,1.675,1.6036,1.5284,1.4559,1.394,1.3474,1.3118,1.2805,1.2781,1.347,1.4479,1.5461,1.6333,1.7087,1.7726,1.8205,1.8513,1.8683,1.8739,1.871,1.8637,1.857,1.8555,1.8623,1.8785,1.9037,1.9393,1.9944,2.0859,2.2162,2.3593,2.4931,2.6121,2.7166,2.8064,2.8796,2.9338,2.9669,2.9776,2.9646,2.926,2.8582,2.759,2.6301,2.4813,2.3314,2.2055,2.1237,2.0883,2.0825,2.0868,2.0897,2.0869,0.6407142063454618,0.02907080720869688,0.0559041120537482,2.0631940364837646,1.1225121021270752,2.008930206298828,1.406682014465332,0.8410913348197937,0.8410913348197937,1.0202643871307373,1.0364611148834229,1.2350001335144043,0.9165874123573303,-9999.0,0.5131314992904663,0.9515339732170105,1.336342215538025,1.1211726665496826,132.82342529296875,197.18936157226562,-62.57923889160156,-0.010813507251441479,2274.388671875,1701.097412109375,39.103206634521484,0.8505925536155701,8.242356300354004,61.33059310913086,-5.952407360076904,18080.0,6658.0,-999.0,1
