,lon,lat,res-25,res-77,res-136,res-201,res-273,res-353,res-442,res-541,res-650,res-772,res-907,res-1056,res-1223,res-1407,res-1612,res-1839,res-2092,res-2372,res-2683,res-3028,res-3411,res-3837,res-4309,res-4833,res-5414,res-6060,res-6776,res-7572,res-8455,res-9435,res-10523,res-11730,res-13071,res-14559,res-16210,res-18043,res-20078,res-22337,res-24844,res-27627,res-30716,res-34145,res-37951,res-42175,res-46865,res-52070,res-57847,res-64261,res-71379,res-79281,res-88052,res-97788,res-108595,res-120590,res-133905,res-148685,res-165090,res-183300,res-203513,res-225950,res-250854,res-278498,res-309183,neoFaults,archFaults,gairFaults,aster1-AlOH-cont,aster2-AlOH,aster3-FeOH-cont,aster4-Ferric-cont,aster5-Ferrous-cont,aster6-Ferrous-index,aster7-MgOH-comp,aster8-MgOH-cont,aster9-green,aster10-kaolin,aster11-opaque,aster12-quartz,aster13-regolith-b3,aster14-regolith-b4,aster15-silica,base16,dem17,dtb18,mag19-2vd,mag20-rtp,mag21-tmi,rad22-dose,rad23-k,rad24-th,rad25-u,grav26,archean27,geol28,random,deposit
0,129.1756098,-26.0109782,1.9954,1.9926,1.9902,1.988,1.9855,1.9823,1.9778,1.9714,1.962,1.9488,1.9307,1.9078,1.8824,1.8611,1.8521,1.8578,1.8739,1.8932,1.9106,1.9239,1.9327,1.938,1.9411,1.9432,1.9451,1.9477,1.9515,1.957,1.9646,1.9746,1.9871,2.0022,2.0199,2.04,2.0623,2.0863,2.1115,2.137,2.1622,2.1862,2.208,2.2268,2.2417,2.2519,2.2563,2.254,2.2444,2.2274,2.2038,2.1757,2.1467,2.1213,2.1047,2.1015,2.1149,2.146,2.1939,2.2554,2.3255,2.3965,2.4581,2.4968,2.499,0.9926268730682376,1.008797815642045,2.753673604000064,1.8839120864868164,-9999.0,-9999.0,1.396781325340271,-9999.0,0.8204867243766785,-9999.0,-9999.0,1.542378544807434,-9999.0,0.47554832696914673,0.5050537586212158,0.9411436319351196,1.2570555210113525,1.080017328262329,689.04736328125,704.358154296875,-30.6717586517334,-0.000895175093319267,-680.6435546875,149.79568481445312,26.980792999267578,0.9861512184143066,5.150241851806641,31.664337158203125,-6.381483554840088,14552.0,17056.0,-999.0,1
1,128.9380348,-26.0423782,1.9978,1.9964,1.9952,1.9941,1.993,1.9917,1.99,1.9876,1.984,1.9789,1.9718,1.9625,1.9517,1.9415,1.9347,1.9333,1.937,1.9437,1.9512,1.9578,1.9631,1.967,1.9702,1.9731,1.9765,1.9807,1.9862,1.9934,2.0024,2.0135,2.0268,2.0424,2.0602,2.0801,2.102,2.1254,2.15,2.1753,2.2007,2.2255,2.249,2.2702,2.2884,2.3024,2.3114,2.3144,2.3108,2.3006,2.2845,2.2646,2.2441,2.2274,2.2195,2.2255,2.2491,2.292,2.3534,2.4297,2.5143,2.5971,2.6641,2.6987,2.6844,0.9475965431249065,0.9639878564206407,2.9072652488278465,1.9906760454177856,1.0993117094039917,-9999.0,1.3369075059890747,-9999.0,0.9438581466674805,-9999.0,-9999.0,1.4210103750228882,-9999.0,0.5263824462890625,0.5022321343421936,0.8711897730827332,1.1647001504898071,1.0683090686798096,636.1200561523438,652.8370361328125,-4.788809299468994,-0.0025631145108491182,150.2808074951172,416.2962951660156,43.35826110839844,-9999.0,-9999.0,50.829315185546875,3.185065984725952,-9999.0,-9999.0,999.0,1
2,135.03948,-29.3907433,2.0521,2.0358,2.0055,1.9747,1.9452,1.9147,1.8807,1.8411,1.7942,1.7389,1.675,1.6036,1.5284,1.4559,1.394,1.3474,1.3118,1.2805,1.2781,1.347,1.4479,1.5461,1.6333,1.7087,1.7726,1.8205,1.8513,1.8683,1.8739,1.871,1.8637,1.857,1.8555,1.8623,1.8785,1.9037,1.9393,1.9944,2.0859,2.2162,2.3593,2.4931,2.6121,2.7166,2.8064,2.8796,2.9338,2.9669,2.9776,2.9646,2.926,2.8582,2.759,2.6301,2.4813,2.3314,2.2055,2.1237,2.0883,2.0825,2.0868,2.0897,2.0869,0.6099717025938062,0.006125625624410966,0.05060453160321581,2.0772361755371094,1.0989289283752441,1.9656730890274048,1.4943902492523193,0.7936816811561584,0.7604434490203857,1.0422486066818237,1.0232930183410645,1.213752031326294,0.9201194047927856,-9999.0,0.5075725317001343,0.9685623645782471,1.4481580257415771,1.0473442077636719,140.37002563476562,185.0005645751953,-44.96934509277344,-0.015867482870817184,2501.73486328125,-1212.140380859375,36.554054260253906,0.8653821349143982,8.989822387695312,62.84016036987305,-4.472273826599121,18080.0,6658.0,999.0,1
3,135.123458,-29.2987163,2.2187,2.2859,2.314,2.3296,2.3424,2.3546,2.3663,2.3769,2.3862,2.3939,2.4,2.4049,2.4097,2.4157,2.4238,2.4312,2.4295,2.414,2.4159,2.4833,2.5682,2.6333,2.6743,2.6963,2.7022,2.6901,2.6558,2.5945,2.5026,2.3795,2.2283,2.0545,1.8641,1.6612,1.4471,1.2237,1.006,0.8466,0.8415,1.0419,1.3657,1.7042,2.0058,2.2614,2.4761,2.6546,2.7985,2.9072,2.9787,3.0113,3.0041,2.9578,2.8762,2.7669,2.6419,2.5166,2.4061,2.3207,2.2609,2.219,2.1864,2.1576,2.1301,0.49447298162433256,0.008343417364730932,0.15426974084983813,2.001645088195801,1.1386187076568604,2.0609264373779297,1.4328246116638184,0.891617476940155,0.891617476940155,1.0076839923858643,1.0440223217010498,1.2367212772369385,0.9384512901306152,-9999.0,0.5131055116653442,0.8915874361991882,1.2778180837631226,1.1533153057098389,88.29325866699219,140.28741455078125,-30.356475830078125,-0.017416082322597504,-1357.964111328125,1072.4168701171875,38.574649810791016,0.88189697265625,8.946714401245117,53.36134338378906,-5.007778644561768,18444.0,8042.0,-999.0,1
4,135.2765524,-29.4422673,2.1972,2.2693,2.3058,2.3293,2.3494,2.3689,2.3884,2.4077,2.4265,2.4443,2.4607,2.4753,2.4878,2.4992,2.5117,2.5288,2.5539,2.5886,2.6302,2.6712,2.7038,2.7285,2.7529,2.7861,2.8204,2.8476,2.8635,2.8617,2.8343,2.7742,2.6787,2.5487,2.3869,2.1939,1.9665,1.7009,1.4101,1.1564,1.06,1.1801,1.4172,1.6632,1.8777,2.0623,2.2301,2.3906,2.5474,2.698,2.8347,2.9455,3.0154,3.0298,2.9807,2.8718,2.7197,2.5509,2.3952,2.2773,2.2053,2.1681,2.1475,2.1311,2.1134,0.45251825987426364,0.002917977017522114,0.17643796098101963,2.0615921020507812,1.1225411891937256,2.0209455490112305,1.363706350326538,0.8588511347770691,0.8760782480239868,1.012477159500122,1.0083647966384888,1.1803479194641113,0.9176607131958008,-9999.0,0.5088095664978027,0.9397900104522705,1.281337022781372,1.144294261932373,123.68215942382812,153.11195373535156,-33.03365707397461,0.007942859083414078,3526.462646484375,741.2924194335938,45.6728630065918,1.0257517099380493,9.559541702270508,54.48872756958008,14.05957317352295,18442.0,8042.0,999.0,1
5,135.391986,-29.6699523,2.1359,2.195,2.2239,2.2411,2.2547,2.2676,2.28,2.2919,2.3028,2.312,2.3183,2.3199,2.3145,2.3029,2.2905,2.274,2.2336,2.145,1.979,1.715,1.395,1.1605,1.1485,1.3741,1.7012,2.0061,2.2465,2.4222,2.5414,2.6107,2.6358,2.6231,2.5787,2.5057,2.4011,2.2565,2.0681,1.8692,1.7658,1.8473,2.0395,2.2373,2.3981,2.5221,2.6228,2.7127,2.7996,2.8865,2.9711,3.0454,3.0949,3.1003,3.0443,2.9198,2.7369,2.5221,2.3135,2.1528,2.0659,2.0428,2.0511,2.0644,2.0711,0.5947348578754905,0.004856383993200986,0.11861902546276817,2.0872585773468018,1.0716084241867065,1.983860731124878,1.481557846069336,0.8132472634315491,0.8144267797470093,0.9781591296195984,1.0102992057800293,1.2442500591278076,0.9262983798980713,-9999.0,0.5046886205673218,0.9021741151809692,1.3158085346221924,1.0639615058898926,107.75696563720703,221.4447784423828,-85.8262939453125,-0.016443174332380295,5339.7431640625,4458.759765625,44.15789031982422,0.8971947431564331,10.90803050994873,52.392555236816406,10.585226058959961,18080.0,8042.0,-999.0,1
6,135.382682,-29.5896743,2.2351,2.3345,2.3859,2.4178,2.4434,2.4675,2.4912,2.5147,2.5379,2.5604,2.5813,2.5996,2.6135,2.622,2.6263,2.626,2.6157,2.5862,2.52,2.3954,2.2173,2.0585,2.0372,2.2009,2.4563,2.7064,2.9102,3.0557,3.1386,3.1569,3.1131,3.0142,2.8681,2.678,2.438,2.1343,1.7622,1.3777,1.1522,1.2246,1.4743,1.7403,1.9603,2.1344,2.2805,2.4146,2.546,2.6775,2.8057,2.9205,3.0053,3.0403,3.0097,2.91,2.755,2.5722,2.3963,2.2592,2.176,2.1374,2.1218,2.1121,2.1005,0.522532491636148,0.0047566862930975,0.1774005134058472,2.0814154148101807,1.0837042331695557,1.9521363973617554,1.355034589767456,0.7944241166114807,0.7944241166114807,1.051926851272583,1.017587423324585,1.1584877967834473,0.9244587421417236,-9999.0,0.5066055059432983,1.0096039772033691,1.3686974048614502,1.0475295782089233,162.70709228515625,181.29408264160156,-28.487503051757812,-0.01611349731683731,1715.8529052734375,2647.728271484375,53.1526985168457,1.0499327182769775,11.599184036254883,56.75230407714844,31.17388153076172,17060.0,8042.0,999.0,1
7,135.2754187,-29.4233617,2.1972,2.2693,2.3058,2.3293,2.3494,2.3689,2.3884,2.4077,2.4265,2.4443,2.4607,2.4753,2.4878,2.4992,2.5117,2.5288,2.5539,2.5886,2.6302,2.6712,2.7038,2.7285,2.7529,2.7861,2.8204,2.8476,2.8635,2.8617,2.8343,2.7742,2.6787,2.5487,2.3869,2.1939,1.9665,1.7009,1.4101,1.1564,1.06,1.1801,1.4172,1.6632,1.8777,2.0623,2.2301,2.3906,2.5474,2.698,2.8347,2.9455,3.0154,3.0298,2.9807,2.8718,2.7197,2.5509,2.3952,2.2773,2.2053,2.1681,2.1475,2.1311,2.1134,0.43939955124849756,0.008151864219170598,0.1818758056149357,2.0525035858154297,1.1226423978805542,2.012559652328491,1.3125394582748413,0.8841735124588013,0.8841735124588013,1.022190809249878,1.01988685131073,1.2137973308563232,0.9212847948074341,-9999.0,0.5098766088485718,0.9678158760070801,1.270155906677246,1.1636555194854736,123.42098999023438,151.36752319335938,-31.230072021484375,0.0012902668677270412,1981.588623046875,3021.32861328125,43.20518493652344,0.9352503418922424,8.372549057006836,61.245330810546875,13.642515182495117,18444.0,8042.0,999.0,1
8,134.2841651,-29.8856223,2.3689,2.4566,2.4668,2.4573,2.4455,2.4314,2.4116,2.3845,2.3523,2.3216,2.2997,2.2907,2.2961,2.3173,2.3604,2.4364,2.5322,2.5645,2.5157,2.4505,2.4394,2.5585,2.7654,3.0186,3.2421,3.3887,3.4696,3.5141,3.544,3.5693,3.5924,3.6126,3.6287,3.6401,3.6466,3.6489,3.6483,3.6464,3.645,3.6456,3.6484,3.6521,3.6541,3.6514,3.6421,3.6262,3.6057,3.582,3.555,3.5215,3.4737,3.3968,3.2675,3.0544,2.724,2.2521,1.6557,1.0658,0.7561,0.8528,1.1623,1.4849,1.7358,0.797851825694993,0.03590490284647169,0.0158024389986412,2.0938587188720703,1.1068944931030273,1.9832265377044678,1.682308316230774,0.879940390586853,0.879940390586853,1.0235731601715088,1.0591750144958496,1.293097972869873,0.9091999530792236,-9999.0,0.5079047083854675,0.7482151985168457,1.2588090896606445,1.0920917987823486,156.10806274414062,160.80514526367188,-4.957363128662109,0.06917518377304077,2002.35009765625,1256.0758056640625,28.775238037109375,0.499339759349823,6.4347944259643555,48.856571197509766,-10.236700057983398,18940.0,18900.0,999.0,1
9,135.067718,-30.0274463,3.8301,4.1857,4.1689,4.1118,4.0905,4.0902,4.0902,4.0823,4.0682,4.0561,4.0544,4.0617,4.082,4.1366,4.2399,4.3564,4.3546,4.1024,3.6277,3.1002,2.7705,2.8977,3.5863,4.3453,4.868,5.128,5.1951,5.1602,5.0955,5.0267,4.9517,4.8648,4.7691,4.6732,4.5866,4.5145,4.4574,4.4123,4.3752,4.3421,4.3097,4.2758,4.2395,4.2,4.1572,4.1108,4.0606,4.006,3.9457,3.8756,3.787,3.664,3.4834,3.2182,2.8463,2.3633,1.8047,1.2993,1.0817,1.207,1.4709,1.7128,1.8821,1.0301260566198183,0.07594391041261106,0.015299042793046882,2.0769052505493164,1.0605809688568115,1.9402506351470947,1.5278733968734741,0.8913738131523132,0.8956745266914368,1.0934466123580933,1.0089902877807617,1.2518905401229858,0.9357545375823975,-9999.0,0.5135529637336731,0.7879539728164673,1.1839892864227295,1.164738416671753,156.24436950683594,159.5101776123047,-11.6306734085083,0.03339081257581711,2236.731689453125,2767.603759765625,32.873130798339844,0.5777701139450073,7.9078850746154785,52.801490783691406,-29.565359115600586,18080.0,18432.0,999.0,1
