,lon,lat,res-25,res-77,res-136,res-201,res-273,res-353,res-442,res-541,res-650,res-772,res-907,res-1056,res-1223,res-1407,res-1612,res-1839,res-2092,res-2372,res-2683,res-3028,res-3411,res-3837,res-4309,res-4833,res-5414,res-6060,res-6776,res-7572,res-8455,res-9435,res-10523,res-11730,res-13071,res-14559,res-16210,res-18043,res-20078,res-22337,res-24844,res-27627,res-30716,res-34145,res-37951,res-42175,res-46865,res-52070,res-57847,res-64261,res-71379,res-79281,res-88052,res-97788,res-108595,res-120590,res-133905,res-148685,res-165090,res-183300,res-203513,res-225950,res-250854,res-278498,res-309183,neoFaults,archFaults,gairFaults,aster1-AlOH-cont,aster2-AlOH,aster3-FeOH-cont,aster4-Ferric-cont,aster5-Ferrous-cont,aster6-Ferrous-index,aster7-MgOH-comp,aster8-MgOH-cont,aster9-green,aster10-kaolin,aster11-opaque,aster12-quartz,aster13-regolith-b3,aster14-regolith-b4,aster15-silica,base16,dem17,dtb18,mag19-2vd,mag20-rtp,mag21-tmi,rad22-dose,rad23-k,rad24-th,rad25-u,grav26,archean27,geol28,random,deposit
0,129.2005488,-26.1063352,1.9954,1.9926,1.9902,1.988,1.9855,1.9823,1.9778,1.9714,1.962,1.9488,1.9307,1.9078,1.8824,1.8611,1.8521,1.8578,1.8739,1.8932,1.9106,1.9239,1.9327,1.938,1.9411,1.9432,1.9451,1.9477,1.9515,1.957,1.9646,1.9746,1.9871,2.0022,2.0199,2.04,2.0623,2.0863,2.1115,2.137,2.1622,2.1862,2.208,2.2268,2.2417,2.2519,2.2563,2.254,2.2444,2.2274,2.2038,2.1757,2.1467,2.1213,2.1047,2.1015,2.1149,2.146,2.1939,2.2554,2.3255,2.3965,2.4581,2.4968,2.499,0.9041353374700988,0.9201592196027498,2.669529144633115,1.9410383701324463,1.01406729221344,2.039564609527588,1.3335671424865723,0.8145408630371094,0.8145408630371094,0.9945732355117798,1.0792584419250488,1.3604077100753784,1.0274537801742554,0.5536919832229614,0.504064679145813,0.9346626400947571,1.2370948791503906,1.0248210430145264,761.7344970703125,784.87060546875,-27.991697311401367,-0.0011729502584785223,281.1330871582031,186.15878295898438,33.31435012817383,1.99103844165802,2.9252676963806152,29.903881072998047,27.96487045288086,14552.0,17296.0,999.0,1
1,132.7753584,-26.1071242,2.045,2.0651,2.0781,2.0881,2.0972,2.1065,2.1164,2.127,2.1387,2.1514,2.1655,2.1813,2.1991,2.2189,2.2407,2.2637,2.2859,2.3034,2.3138,2.3195,2.3262,2.3367,2.351,2.3683,2.3875,2.4077,2.4282,2.4486,2.4688,2.489,2.5092,2.5297,2.5506,2.572,2.5938,2.6159,2.638,2.6596,2.6803,2.6994,2.7168,2.7325,2.7472,2.7623,2.7801,2.8033,2.8346,2.8753,2.9251,2.9814,3.0399,3.095,3.1407,3.1701,3.177,3.1558,3.1036,3.0209,2.912,2.784,2.647,2.5116,2.3873,0.6439419821508373,0.9790029923432426,1.5109998825099036,2.0078542232513428,1.0730469226837158,2.0314483642578125,1.2960628271102905,0.85516357421875,0.85516357421875,1.001218318939209,1.0604069232940674,1.3583472967147827,0.9623091220855713,-9999.0,0.5011800527572632,0.9681663513183594,1.2548032999038696,1.094001293182373,557.865234375,558.018798828125,-1.6965994834899902,-0.00015402247663587332,154.35467529296875,-592.0570678710938,64.80540466308594,2.6501827239990234,9.695924758911133,45.00193786621094,-89.46549987792969,14552.0,17068.0,-999.0,1
2,132.7705154,-26.1252812,2.045,2.0651,2.0781,2.0881,2.0972,2.1065,2.1164,2.127,2.1387,2.1514,2.1655,2.1813,2.1991,2.2189,2.2407,2.2637,2.2859,2.3034,2.3138,2.3195,2.3262,2.3367,2.351,2.3683,2.3875,2.4077,2.4282,2.4486,2.4688,2.489,2.5092,2.5297,2.5506,2.572,2.5938,2.6159,2.638,2.6596,2.6803,2.6994,2.7168,2.7325,2.7472,2.7623,2.7801,2.8033,2.8346,2.8753,2.9251,2.9814,3.0399,3.095,3.1407,3.1701,3.177,3.1558,3.1036,3.0209,2.912,2.784,2.647,2.5116,2.3873,0.6336126011855858,0.9645854602220997,1.4967685739561618,1.976032018661499,1.0717039108276367,2.02274489402771,1.4185371398925781,0.8171663880348206,0.8227245807647705,1.0164576768875122,1.0639331340789795,1.401034951210022,0.9694244861602783,-9999.0,0.4993216395378113,0.9377982020378113,1.330130934715271,1.0593688488006592,557.7028198242188,558.3955078125,-1.5780479907989502,-0.0007587290601804852,18.42871856689453,-592.9790649414062,70.5589599609375,2.921724557876587,13.233379364013672,48.09483337402344,-87.5299072265625,14552.0,17068.0,999.0,1
3,132.7649454,-26.1447802,2.045,2.0651,2.0781,2.0881,2.0972,2.1065,2.1164,2.127,2.1387,2.1514,2.1655,2.1813,2.1991,2.2189,2.2407,2.2637,2.2859,2.3034,2.3138,2.3195,2.3262,2.3367,2.351,2.3683,2.3875,2.4077,2.4282,2.4486,2.4688,2.489,2.5092,2.5297,2.5506,2.572,2.5938,2.6159,2.638,2.6596,2.6803,2.6994,2.7168,2.7325,2.7472,2.7623,2.7801,2.8033,2.8346,2.8753,2.9251,2.9814,3.0399,3.095,3.1407,3.1701,3.177,3.1558,3.1036,3.0209,2.912,2.784,2.647,2.5116,2.3873,0.6226568829761415,0.9494351812344582,1.4817638031052027,2.0071139335632324,1.0845329761505127,-9999.0,1.4494380950927734,-9999.0,0.8255726099014282,-9999.0,-9999.0,1.4589765071868896,-9999.0,-9999.0,0.4988950490951538,0.9063472151756287,1.3136930465698242,1.0603396892547607,561.555419921875,560.1414794921875,-1.6771714687347412,0.0009435370448045433,-95.0450668334961,-438.7071228027344,86.9442138671875,3.108651876449585,15.727130889892578,55.740570068359375,-86.22625732421875,14552.0,17068.0,999.0,1
4,129.3430128,-26.1617172,1.9968,1.9947,1.9926,1.9906,1.9881,1.9848,1.9801,1.9732,1.9636,1.9504,1.9332,1.9121,1.8903,1.8758,1.8782,1.8967,1.921,1.9423,1.9577,1.9681,1.975,1.9799,1.9837,1.9873,1.991,1.9955,2.0011,2.0082,2.0171,2.0281,2.0412,2.0566,2.0743,2.094,2.1156,2.1386,2.1623,2.1861,2.2091,2.2304,2.2491,2.2646,2.2761,2.283,2.2845,2.2798,2.2682,2.2494,2.2241,2.1942,2.1629,2.1346,2.1142,2.1059,2.1129,2.1364,2.1756,2.228,2.2894,2.3531,2.4096,2.4467,2.4512,0.894603973061225,0.9097962162634207,2.5286377237036,1.941472053527832,-9999.0,-9999.0,1.3859986066818237,-9999.0,0.8482950925827026,-9999.0,-9999.0,1.5476758480072021,-9999.0,0.46688705682754517,0.5038443803787231,0.869808554649353,1.2032405138015747,1.0845880508422852,667.28173828125,679.2864990234375,-30.947948455810547,0.0010356010170653462,54.93612289428711,-167.86572265625,33.19386672973633,1.272611379623413,5.795718193054199,36.1546745300293,22.744985580444336,14552.0,17056.0,-999.0,1
5,129.2183518,-26.1625352,1.9954,1.9926,1.9902,1.988,1.9855,1.9823,1.9778,1.9714,1.962,1.9488,1.9307,1.9078,1.8824,1.8611,1.8521,1.8578,1.8739,1.8932,1.9106,1.9239,1.9327,1.938,1.9411,1.9432,1.9451,1.9477,1.9515,1.957,1.9646,1.9746,1.9871,2.0022,2.0199,2.04,2.0623,2.0863,2.1115,2.137,2.1622,2.1862,2.208,2.2268,2.2417,2.2519,2.2563,2.254,2.2444,2.2274,2.2038,2.1757,2.1467,2.1213,2.1047,2.1015,2.1149,2.146,2.1939,2.2554,2.3255,2.3965,2.4581,2.4968,2.499,0.853805507505693,0.8696952674297076,2.6181289414712587,1.9690232276916504,1.0422812700271606,-9999.0,1.471261978149414,-9999.0,0.8072139024734497,-9999.0,-9999.0,1.4132614135742188,-9999.0,0.4823797941207886,0.5057974457740784,0.8928318023681641,1.316809892654419,1.0541737079620361,676.3631591796875,678.8966064453125,-16.85676383972168,0.004251750186085701,532.5955200195312,373.2249755859375,29.83134651184082,1.2264360189437866,5.141622543334961,33.010719299316406,56.65891647338867,14552.0,17056.0,-999.0,1
6,132.7588624,-26.1700472,2.045,2.0651,2.0781,2.0881,2.0972,2.1065,2.1164,2.127,2.1387,2.1514,2.1655,2.1813,2.1991,2.2189,2.2407,2.2637,2.2859,2.3034,2.3138,2.3195,2.3262,2.3367,2.351,2.3683,2.3875,2.4077,2.4282,2.4486,2.4688,2.489,2.5092,2.5297,2.5506,2.572,2.5938,2.6159,2.638,2.6596,2.6803,2.6994,2.7168,2.7325,2.7472,2.7623,2.7801,2.8033,2.8346,2.8753,2.9251,2.9814,3.0399,3.095,3.1407,3.1701,3.177,3.1558,3.1036,3.0209,2.912,2.784,2.647,2.5116,2.3873,0.5986527648930825,0.9295756892408714,1.4619898212879483,2.0058236122131348,1.0840439796447754,-9999.0,1.2664612531661987,-9999.0,0.8434300422668457,-9999.0,-9999.0,1.4243580102920532,-9999.0,-9999.0,0.4995650053024292,1.0153833627700806,1.2853134870529175,1.0909672975540161,539.1414794921875,540.89892578125,-4.084704399108887,2.35699480981566e-05,-57.8792724609375,-400.313232421875,61.35149002075195,2.7777020931243896,10.580163955688477,44.38189697265625,-81.69488525390625,14552.0,17296.0,999.0,1
7,129.2344798,-26.1773762,1.9954,1.9926,1.9902,1.988,1.9855,1.9823,1.9778,1.9714,1.962,1.9488,1.9307,1.9078,1.8824,1.8611,1.8521,1.8578,1.8739,1.8932,1.9106,1.9239,1.9327,1.938,1.9411,1.9432,1.9451,1.9477,1.9515,1.957,1.9646,1.9746,1.9871,2.0022,2.0199,2.04,2.0623,2.0863,2.1115,2.137,2.1622,2.1862,2.208,2.2268,2.2417,2.2519,2.2563,2.254,2.2444,2.2274,2.2038,2.1757,2.1467,2.1213,2.1047,2.1015,2.1149,2.146,2.1939,2.2554,2.3255,2.3965,2.4581,2.4968,2.499,0.8438054531837074,0.8595964773154319,2.5962117445903337,1.9704649448394775,1.0235987901687622,2.000983238220215,1.310897707939148,0.8213017582893372,0.8650726079940796,1.0210843086242676,1.0417287349700928,1.436861276626587,0.9980787634849548,0.49931973218917847,0.5089309215545654,0.9107766151428223,1.193218469619751,1.0578303337097168,677.8199462890625,701.3004150390625,-29.455780029296875,0.0023569101467728615,490.0550842285156,651.854736328125,25.602283477783203,0.9006338119506836,4.862971782684326,32.153499603271484,61.86540222167969,14552.0,17056.0,-999.0,1
8,128.9458688,-26.1793622,1.9978,1.9964,1.9952,1.9941,1.993,1.9917,1.99,1.9876,1.984,1.9789,1.9718,1.9625,1.9517,1.9415,1.9347,1.9333,1.937,1.9437,1.9512,1.9578,1.9631,1.967,1.9702,1.9731,1.9765,1.9807,1.9862,1.9934,2.0024,2.0135,2.0268,2.0424,2.0602,2.0801,2.102,2.1254,2.15,2.1753,2.2007,2.2255,2.249,2.2702,2.2884,2.3024,2.3114,2.3144,2.3108,2.3006,2.2845,2.2646,2.2441,2.2274,2.2195,2.2255,2.2491,2.292,2.3534,2.4297,2.5143,2.5971,2.6641,2.6987,2.6844,0.8103942516545789,0.8267841677151198,2.8136028428665765,1.9477053880691528,-9999.0,2.035555601119995,1.244356632232666,0.839002251625061,0.839002251625061,1.0055866241455078,1.0615599155426025,1.3323308229446411,1.0129729509353638,0.60317462682724,0.5026426911354065,0.9844444394111633,1.225000023841858,1.0126183032989502,639.9058837890625,641.9719848632812,-9999.0,-0.003477758262306452,17.677183151245117,873.9835205078125,46.321651458740234,-9999.0,-9999.0,50.57726287841797,33.863502502441406,-9999.0,-9999.0,-999.0,1
9,132.6277374,-26.1800382,2.0732,2.1052,2.1256,2.1411,2.1552,2.1694,2.1843,2.2003,2.2173,2.2358,2.2561,2.2784,2.3028,2.329,2.357,2.3879,2.4225,2.46,2.496,2.5254,2.5476,2.566,2.5848,2.6071,2.633,2.6608,2.689,2.7164,2.7424,2.7672,2.7909,2.8136,2.8355,2.8564,2.8763,2.895,2.9125,2.9285,2.9431,2.9563,2.9682,2.9793,2.9903,3.0023,3.0167,3.0351,3.0587,3.0883,3.1229,3.1603,3.1966,3.2273,3.2469,3.2504,3.2326,3.19,3.1205,3.0248,2.9067,2.7723,2.6306,2.492,2.3659,0.6242748934533122,0.9870970304577127,1.5086430299097024,1.9894335269927979,1.111242651939392,2.0232741832733154,1.3689219951629639,0.8740304112434387,0.861299455165863,1.0152182579040527,1.075516700744629,1.4475641250610352,0.9343273043632507,-9999.0,0.5000183582305908,0.9146261811256409,1.2517223358154297,1.0610063076019287,585.9364013671875,587.3946533203125,-9999.0,-0.00216946704313159,-142.11093139648438,-89.22909545898438,52.315147399902344,2.541585683822632,8.959282875061035,34.163448333740234,-88.21168518066406,14552.0,17296.0,999.0,1
