,lon,lat,res-25,res-77,res-136,res-201,res-273,res-353,res-442,res-541,res-650,res-772,res-907,res-1056,res-1223,res-1407,res-1612,res-1839,res-2092,res-2372,res-2683,res-3028,res-3411,res-3837,res-4309,res-4833,res-5414,res-6060,res-6776,res-7572,res-8455,res-9435,res-10523,res-11730,res-13071,res-14559,res-16210,res-18043,res-20078,res-22337,res-24844,res-27627,res-30716,res-34145,res-37951,res-42175,res-46865,res-52070,res-57847,res-64261,res-71379,res-79281,res-88052,res-97788,res-108595,res-120590,res-133905,res-148685,res-165090,res-183300,res-203513,res-225950,res-250854,res-278498,res-309183,neoFaults,archFaults,gairFaults,aster1-AlOH-cont,aster2-AlOH,aster3-FeOH-cont,aster4-Ferric-cont,aster5-Ferrous-cont,aster6-Ferrous-index,aster7-MgOH-comp,aster8-MgOH-cont,aster9-green,aster10-kaolin,aster11-opaque,aster12-quartz,aster13-regolith-b3,aster14-regolith-b4,aster15-silica,base16,dem17,dtb18,mag19-2vd,mag20-rtp,mag21-tmi,rad22-dose,rad23-k,rad24-th,rad25-u,grav26,archean27,geol28,random,deposit
0,134.7414411,-29.0183703,2.2281,2.3036,2.3346,2.3497,2.3615,2.3737,2.3863,2.3987,2.41,2.4193,2.4252,2.4258,2.4188,2.4025,2.3777,2.3499,2.3284,2.322,2.3374,2.3815,2.4343,2.462,2.4423,2.3744,2.2724,2.1648,2.123,2.216,2.4136,2.6387,2.8418,3.0055,3.1279,3.2103,3.2523,3.2514,3.2057,3.1189,3.0064,2.8927,2.7923,2.7068,2.6358,2.5801,2.5399,2.5155,2.5066,2.5109,2.5225,2.5351,2.5439,2.5452,2.5357,2.5125,2.4749,2.4254,2.3695,2.3134,2.2617,2.2164,2.1778,2.1447,2.1154,0.8190513091249637,0.005252099171748219,0.0903828854640585,2.1129300594329834,1.0960638523101807,1.9779796600341797,1.1583205461502075,-9999.0,0.7517462968826294,-9999.0,0.9986140131950378,1.1770036220550537,0.905072808265686,-9999.0,0.5039571523666382,1.2707676887512207,1.4580236673355103,1.04557204246521,-356.459228515625,213.78372192382812,-9999.0,0.000593993638176471,332.5047607421875,68.7332992553711,36.7517204284668,0.627280592918396,7.207612037658691,54.92597961425781,-13.218935012817383,18080,6658,-999.0,1
1,135.391986,-29.6699523,2.1359,2.195,2.2239,2.2411,2.2547,2.2676,2.28,2.2919,2.3028,2.312,2.3183,2.3199,2.3145,2.3029,2.2905,2.274,2.2336,2.145,1.979,1.715,1.395,1.1605,1.1485,1.3741,1.7012,2.0061,2.2465,2.4222,2.5414,2.6107,2.6358,2.6231,2.5787,2.5057,2.4011,2.2565,2.0681,1.8692,1.7658,1.8473,2.0395,2.2373,2.3981,2.5221,2.6228,2.7127,2.7996,2.8865,2.9711,3.0454,3.0949,3.1003,3.0443,2.9198,2.7369,2.5221,2.3135,2.1528,2.0659,2.0428,2.0511,2.0644,2.0711,0.5947348578754905,0.004856383993200986,0.11861902546276817,2.0872585773468018,1.0716084241867065,1.983860731124878,1.481557846069336,0.8132472634315491,0.8144267797470093,0.9781591296195984,1.0102992057800293,1.2442500591278076,0.9262983798980713,-9999.0,0.5046886205673218,0.9021741151809692,1.3158085346221924,1.0639615058898926,107.75696563720703,221.4447784423828,-85.8262939453125,-0.016443174332380295,5339.7431640625,4458.759765625,44.15789031982422,0.8971947431564331,10.90803050994873,52.392555236816406,10.585226058959961,18080,8042,999.0,1
2,138.7080445,-29.5849344,1.9693,1.9416,1.9137,1.8858,1.856,1.822,1.7815,1.7318,1.6706,1.5966,1.5112,1.4213,1.338,1.2682,1.2028,1.1179,0.99,0.812,0.5907,0.3707,0.305,0.592,1.0999,1.6126,2.0138,2.2692,2.3991,2.4592,2.4814,2.483,2.4772,2.4698,2.4609,2.4479,2.4278,2.3978,2.3562,2.3029,2.2402,2.173,2.1101,2.0633,2.0463,2.0707,2.1402,2.2474,2.3764,2.509,2.6297,2.7284,2.7992,2.8403,2.8512,2.8328,2.7864,2.7147,2.6219,2.5142,2.3995,2.2869,2.1852,2.1005,2.0351,0.5454702529210681,0.7601572712957491,2.124074192506147,2.0399551391601562,1.1352238655090332,2.0126867294311523,1.4392211437225342,0.8990896940231323,0.8990896940231323,1.0359137058258057,1.02895987033844,1.2981047630310059,0.9225505590438843,-9999.0,0.514499306678772,0.8805969953536987,1.2629849910736084,1.178767442703247,-268.73162841796875,118.41532897949219,-9999.0,1.6046429891503067e-06,-296.667236328125,14.32326602935791,29.020292282104492,0.2574666440486908,6.598291873931885,52.69673538208008,-3.770657777786255,19214,8042,-999.0,1
3,138.7098755,-29.5037734,1.934,1.8864,1.8429,1.8009,1.7567,1.7063,1.6463,1.5735,1.4854,1.3815,1.2673,1.16,1.0886,1.0822,1.1509,1.2813,1.4473,1.6197,1.767,1.8716,1.9749,2.1582,2.3642,2.5136,2.5915,2.6131,2.5992,2.5751,2.5536,2.539,2.5325,2.5315,2.5316,2.5281,2.5166,2.4936,2.4564,2.4038,2.3366,2.2583,2.176,2.1009,2.0475,2.0309,2.0607,2.136,2.2452,2.3703,2.4943,2.6037,2.6901,2.7491,2.7789,2.7794,2.7514,2.6972,2.6203,2.526,2.4213,2.3147,2.2146,2.128,2.0583,0.595457191553813,0.7863337361789163,2.16223641129639,2.009145736694336,1.1174771785736084,2.0384573936462402,1.4413783550262451,0.8802488446235657,0.8802488446235657,1.0158418416976929,1.0286734104156494,1.2921147346496582,0.9431320428848267,-9999.0,0.5127545595169067,0.8838759660720825,1.2695348262786865,1.2189533710479736,-344.6602478027344,100.4946060180664,-9999.0,-5.177512321097311e-07,-332.26446533203125,-38.08030700683594,28.41217041015625,0.6368744373321533,5.2266435623168945,71.227294921875,-3.009861946105957,19214,6658,999.0,1
4,139.5312594,-29.7917895,2.1202,2.159,2.1701,2.169,2.1628,2.1532,2.1411,2.129,2.1236,2.1336,2.1636,2.2111,2.2736,2.3523,2.4435,2.5308,2.5862,2.5725,2.4371,2.1266,1.6785,1.5156,1.5279,1.7525,2.0335,2.2191,2.3086,2.3461,2.3588,2.3584,2.3504,2.3393,2.3286,2.3204,2.3155,2.3137,2.3143,2.3166,2.3203,2.3264,2.3373,2.357,2.3903,2.4411,2.5093,2.5893,2.6714,2.7441,2.798,2.8269,2.8286,2.804,2.7558,2.6878,2.6037,2.5078,2.4042,2.298,2.1952,2.1025,2.0258,1.968,1.9286,0.0024951354619586505,0.0024951354619586505,2.801547979675089,2.288123607635498,1.0898168087005615,1.765043020248413,1.4902313947677612,-9999.0,0.8568557500839233,-9999.0,0.9396477937698364,1.381847620010376,0.7947747111320496,-9999.0,0.5114723443984985,0.8681962490081787,1.2740159034729004,1.0923879146575928,126.67143249511719,126.83187866210938,-7.75279426574707,0.00129330949857831,-408.1788024902344,-113.13663482666016,149.30587768554688,3.244335174560547,33.77783203125,140.24505615234375,-18.1654109954834,17262,16926,-999.0,1
5,135.5776179,-29.7184253,2.038,2.0496,2.0519,2.0512,2.05,2.0484,2.0461,2.0427,2.0374,2.029,2.0159,1.995,1.9629,1.9201,1.8777,1.8387,1.789,1.7115,1.5866,1.411,1.2387,1.1917,1.3373,1.6051,1.8809,2.1051,2.2718,2.3932,2.4797,2.5367,2.5665,2.5702,2.5483,2.4995,2.4194,2.301,2.1434,1.9802,1.9068,1.9944,2.1703,2.3449,2.4842,2.5889,2.6704,2.7399,2.8062,2.8744,2.9457,3.0162,3.0743,3.1006,3.0731,2.9772,2.8165,2.6136,2.4043,2.2286,2.1164,2.0682,2.0589,2.063,2.0659,0.5318096212363276,0.01516357110213183,0.1010988631712143,2.1222219467163086,1.098165512084961,1.9641051292419434,1.1748535633087158,0.7823644876480103,0.7823644876480103,1.0258357524871826,1.0632869005203247,1.3079391717910767,0.900397777557373,-9999.0,0.506131649017334,1.1975221633911133,1.4047110080718994,1.0155327320098877,114.37750244140625,209.07791137695312,-9999.0,0.0117168128490448,2183.200927734375,668.7092895507812,63.860877990722656,1.0022119283676147,14.44045639038086,52.55501174926758,4.345998764038086,18080,8042,-999.0,1
6,139.6474724,-30.0038185,2.1829,2.2446,2.264,2.2664,2.264,2.2603,2.2552,2.2476,2.2367,2.2221,2.2036,2.1822,2.1616,2.1512,2.167,2.2346,2.3995,2.6782,2.9568,3.0813,3.0099,3.1104,3.0682,2.9976,3.0026,3.0397,3.0899,3.1422,3.1838,3.2057,3.208,3.1968,3.1791,3.16,3.1425,3.1276,3.1161,3.108,3.1034,3.102,3.103,3.1047,3.105,3.1017,3.0919,3.0735,3.0449,3.0057,2.956,2.8963,2.8271,2.7486,2.6609,2.5646,2.4609,2.352,2.2415,2.1344,2.037,1.9559,1.896,1.8587,1.8413,0.038660134256049784,0.0016037378748647822,2.7971646959889758,2.074711322784424,1.0963826179504395,1.9666866064071655,1.3867329359054565,0.8461815714836121,0.8603237867355347,1.0440729856491089,1.0181039571762085,1.3153740167617798,0.9224705696105957,-9999.0,0.5070527195930481,0.9231792688369751,1.2755568027496338,1.0608901977539062,253.712646484375,256.141845703125,-12.031339645385742,0.0047022318467497826,598.0206909179688,589.6468505859375,257.26861572265625,3.6270246505737305,86.23800659179688,231.1787872314453,-0.3748853802680969,17138,16926,-999.0,1
7,139.5757964,-30.1006925,2.4024,2.5204,2.5504,2.5508,2.5454,2.5393,2.5316,2.5207,2.5053,2.4847,2.4577,2.4227,2.3783,2.3246,2.2645,2.2051,2.1568,2.1178,2.0309,1.7758,1.3434,1.2291,1.3218,1.6755,2.1176,2.4744,2.73,2.9118,3.039,3.1216,3.1672,3.1841,3.1799,3.1607,3.132,3.0983,3.0641,3.033,3.0079,2.9905,2.9812,2.9788,2.9809,2.9842,2.984,2.976,2.9572,2.9265,2.8843,2.831,2.7669,2.6917,2.6056,2.5089,2.4035,2.2925,2.1803,2.0731,1.9779,1.9016,1.8489,1.8203,1.812,0.04625653800627882,0.004461355315448381,2.689576870634091,2.07460880279541,1.136049509048462,1.992323637008667,1.2353718280792236,0.8994866609573364,0.8994866609573364,1.0391346216201782,1.0354304313659668,1.3146082162857056,0.9064988493919373,-9999.0,0.5021375417709351,1.0229159593582153,1.262985348701477,1.0820128917694092,102.36013793945312,110.50440979003906,-9999.0,-0.002075484022498131,-215.49998474121094,212.55711364746094,259.8595886230469,3.234206199645996,69.70756530761719,219.52880859375,-14.362794876098633,17138,2006,999.0,1
8,139.5282174,-30.1366665,2.4024,2.5204,2.5504,2.5508,2.5454,2.5393,2.5316,2.5207,2.5053,2.4847,2.4577,2.4227,2.3783,2.3246,2.2645,2.2051,2.1568,2.1178,2.0309,1.7758,1.3434,1.2291,1.3218,1.6755,2.1176,2.4744,2.73,2.9118,3.039,3.1216,3.1672,3.1841,3.1799,3.1607,3.132,3.0983,3.0641,3.033,3.0079,2.9905,2.9812,2.9788,2.9809,2.9842,2.984,2.976,2.9572,2.9265,2.8843,2.831,2.7669,2.6917,2.6056,2.5089,2.4035,2.2925,2.1803,2.0731,1.9779,1.9016,1.8489,1.8203,1.812,0.03948675933901842,0.012295285692998592,2.6310364637277903,2.0731277465820312,1.0890307426452637,1.9490690231323242,1.237845540046692,-9999.0,0.8397759199142456,-9999.0,0.9952459335327148,1.2640159130096436,0.9255516529083252,-9999.0,0.5060321092605591,1.0477453470230103,1.2968637943267822,1.1145870685577393,124.31703186035156,149.39857482910156,-85.141357421875,-0.0008555444073863328,-210.29312133789062,253.04742431640625,99.39567565917969,2.020965576171875,26.03763198852539,112.97305297851562,-15.57130241394043,14500,2006,999.0,1
9,139.4956174,-30.1516565,2.7204,2.9255,2.9764,2.9786,2.9729,2.9675,2.961,2.951,2.9367,2.9177,2.8937,2.8632,2.8236,2.772,2.7072,2.6324,2.5581,2.4966,2.4175,2.1952,1.8509,2.1441,2.411,2.6749,2.9865,3.2305,3.3955,3.5027,3.5636,3.5831,3.5667,3.5215,3.4553,3.3756,3.2898,3.2048,3.1275,3.0634,3.0167,2.989,2.9796,2.9853,3.001,3.0205,3.0364,3.0418,3.0325,3.0068,2.9654,2.9095,2.8401,2.7576,2.6626,2.5562,2.4408,2.32,2.1991,2.0848,1.9845,1.9052,1.8511,1.8223,1.8143,0.023215624292991368,0.010866371601052239,2.5951634615847436,2.040938138961792,1.075195074081421,1.9767413139343262,1.28201162815094,-9999.0,0.8273018002510071,-9999.0,1.0006417036056519,1.2598152160644531,0.9457029104232788,-9999.0,0.5064685344696045,1.015165090560913,1.3012025356292725,1.164000391960144,143.07472229003906,156.78131103515625,-91.26454162597656,0.0006731086177751422,209.97219848632812,310.891845703125,277.6263122558594,1.8004409074783325,69.17133331298828,187.27688598632812,-18.504344940185547,14500,15524,-999.0,1
