,lon,lat,res-25,res-77,res-136,res-201,res-273,res-353,res-442,res-541,res-650,res-772,res-907,res-1056,res-1223,res-1407,res-1612,res-1839,res-2092,res-2372,res-2683,res-3028,res-3411,res-3837,res-4309,res-4833,res-5414,res-6060,res-6776,res-7572,res-8455,res-9435,res-10523,res-11730,res-13071,res-14559,res-16210,res-18043,res-20078,res-22337,res-24844,res-27627,res-30716,res-34145,res-37951,res-42175,res-46865,res-52070,res-57847,res-64261,res-71379,res-79281,res-88052,res-97788,res-108595,res-120590,res-133905,res-148685,res-165090,res-183300,res-203513,res-225950,res-250854,res-278498,res-309183,neoFaults,archFaults,gairFaults,aster1-AlOH-cont,aster2-AlOH,aster3-FeOH-cont,aster4-Ferric-cont,aster5-Ferrous-cont,aster6-Ferrous-index,aster7-MgOH-comp,aster8-MgOH-cont,aster9-green,aster10-kaolin,aster11-opaque,aster12-quartz,aster13-regolith-b3,aster14-regolith-b4,aster15-silica,base16,dem17,dtb18,mag19-2vd,mag20-rtp,mag21-tmi,rad22-dose,rad23-k,rad24-th,rad25-u,grav26,archean27,geol28,random,deposit
0,134.0720082,-26.5629863,1.9918,1.9873,1.9838,1.9809,1.9781,1.9752,1.9721,1.9687,1.9648,1.9604,1.9554,1.9497,1.9432,1.9359,1.9276,1.9181,1.9074,1.8955,1.8821,1.8675,1.8518,1.8353,1.8181,1.8007,1.7832,1.7657,1.7481,1.7306,1.713,1.6955,1.6783,1.6618,1.6464,1.6329,1.6218,1.614,1.6103,1.6113,1.6178,1.6301,1.6486,1.6735,1.7052,1.7444,1.7926,1.852,1.925,2.0141,2.1203,2.243,2.3793,2.5235,2.6682,2.8038,2.9203,3.0076,3.0577,3.0656,3.0315,2.9605,2.8615,2.7447,2.6193,0.036023836146534004,0.43406718137107175,1.1119956629133334,2.0542943477630615,1.0487432479858398,-9999.0,1.4361144304275513,-9999.0,0.8248885869979858,-9999.0,-9999.0,1.5305829048156738,-9999.0,-9999.0,0.503730058670044,0.8912588357925415,1.2715275287628174,1.0809160470962524,81.3004150390625,299.1744689941406,-196.08721923828125,-0.000179221824510023,-93.33964538574219,-123.99665832519531,52.34611511230469,2.3387372493743896,6.506005764007568,45.32862854003906,-34.74042510986328,14552,8042,999.0,1
1,134.0730492,-26.3324323,1.9918,1.9873,1.9838,1.9809,1.9781,1.9752,1.9721,1.9687,1.9648,1.9604,1.9554,1.9497,1.9432,1.9359,1.9276,1.9181,1.9074,1.8955,1.8821,1.8675,1.8518,1.8353,1.8181,1.8007,1.7832,1.7657,1.7481,1.7306,1.713,1.6955,1.6783,1.6618,1.6464,1.6329,1.6218,1.614,1.6103,1.6113,1.6178,1.6301,1.6486,1.6735,1.7052,1.7444,1.7926,1.852,1.925,2.0141,2.1203,2.243,2.3793,2.5235,2.6682,2.8038,2.9203,3.0076,3.0577,3.0656,3.0315,2.9605,2.8615,2.7447,2.6193,0.20762033120558668,0.6427971931343603,1.307343065594235,2.0333900451660156,1.0444488525390625,-9999.0,1.4252650737762451,-9999.0,0.8181126117706299,-9999.0,-9999.0,1.4343173503875732,-9999.0,-9999.0,0.5036947727203369,0.8966211080551147,1.2765486240386963,1.0845232009887695,181.1805419921875,323.58349609375,-9999.0,-6.436075636884198e-05,-126.27299499511719,-79.74275207519531,41.55824279785156,1.5671762228012085,7.457056045532227,36.23883819580078,-22.785194396972656,14552,6658,999.0,1
2,135.804824,-28.0588113,2.0086,2.0327,2.0525,2.0642,2.0711,2.0761,2.0813,2.0874,2.0952,2.1057,2.1201,2.1396,2.1652,2.1965,2.2311,2.2635,2.2855,2.2875,2.2639,2.2216,2.1841,2.1702,2.1751,2.1803,2.173,2.1491,2.109,2.0547,1.9886,1.914,1.835,1.7574,1.6887,1.6374,1.6111,1.6132,1.64,1.6788,1.7096,1.7089,1.6546,1.5313,1.34,1.1264,1.0162,1.1404,1.4329,1.7586,2.0517,2.2969,2.4959,2.6532,2.772,2.855,2.9049,2.9247,2.9179,2.8878,2.8376,2.7702,2.6887,2.596,2.4953,0.028525949046577643,0.08246235453519103,0.9751809064316007,2.0116119384765625,1.1419440507888794,2.049112319946289,1.3725677728652954,0.9022959470748901,0.9022959470748901,1.01603102684021,1.0395251512527466,1.2668434381484985,0.9325140714645386,-9999.0,0.513670027256012,0.9222272038459778,1.2656116485595703,1.2343628406524658,22.034229278564453,62.22574996948242,-40.26154708862305,-0.00015842411085031927,51.654273986816406,225.97897338867188,31.065643310546875,0.5887172222137451,5.686694622039795,45.36223602294922,4.728969097137451,18076,8602,999.0,1
3,133.5992643,-26.7987123,1.9931,1.9895,1.9868,1.9845,1.9824,1.9802,1.9778,1.9752,1.9722,1.9689,1.9652,1.961,1.9563,1.9511,1.9451,1.9384,1.9308,1.9221,1.9122,1.9009,1.8882,1.8738,1.8577,1.8398,1.8203,1.7991,1.7765,1.7525,1.7273,1.7011,1.6743,1.6477,1.6219,1.598,1.577,1.5599,1.5479,1.5421,1.5436,1.5537,1.5735,1.6043,1.6474,1.7039,1.7747,1.8606,1.9614,2.0766,2.2045,2.3422,2.4857,2.6292,2.7658,2.887,2.9835,3.046,3.0677,3.0458,2.9835,2.8892,2.774,2.6498,2.5257,0.06656859014413755,0.10938177043582499,0.692464121105806,2.096484899520874,1.0999417304992676,2.0221657752990723,1.3923542499542236,0.83370041847229,0.8461650609970093,0.9800570011138916,1.031654715538025,1.443517804145813,0.9105019569396973,-9999.0,0.503196120262146,0.9391205310821533,1.3002021312713623,1.1016263961791992,276.7021179199219,338.642822265625,-76.71086883544922,-1.7269312593271025e-05,-423.83172607421875,-103.47929382324219,52.533042907714844,2.0421206951141357,8.617973327636719,51.27865982055664,-62.00621795654297,19208,2030,999.0,1
4,140.3398874,-28.2008665,1.933,1.8911,1.8569,1.8264,1.7954,1.7598,1.7147,1.6524,1.5627,1.4344,1.267,1.0934,0.9815,0.9478,0.9456,0.9381,0.9097,0.8724,0.8662,0.9244,1.0545,1.2305,1.4082,1.5555,1.6642,1.7423,1.8024,1.8552,1.9071,1.9614,2.0191,2.0798,2.1428,2.2068,2.2708,2.3336,2.3946,2.453,2.5086,2.5613,2.611,2.6579,2.7019,2.743,2.7805,2.8134,2.8403,2.8594,2.8688,2.8667,2.8515,2.822,2.7778,2.7192,2.6473,2.5643,2.4735,2.3793,2.2869,2.2016,2.1276,2.067,2.0192,0.33006293023541067,1.633749649070539,4.229655905976588,2.05849027633667,1.0871800184249878,1.9566457271575928,1.4253873825073242,-9999.0,0.9269821047782898,-9999.0,0.9912314414978027,1.270560383796692,0.932675838470459,-9999.0,0.5124839544296265,0.8270894289016724,1.1730396747589111,1.2530885934829712,-2966.76953125,32.891075134277344,-3032.485107421875,-5.952717401669361e-06,-172.04156494140625,-248.81118774414062,15.322860717773438,0.3621627688407898,2.9754555225372314,35.884986877441406,-30.191329956054688,19210,2030,-999.0,1
5,140.3087474,-28.2118865,1.933,1.8911,1.8569,1.8264,1.7954,1.7598,1.7147,1.6524,1.5627,1.4344,1.267,1.0934,0.9815,0.9478,0.9456,0.9381,0.9097,0.8724,0.8662,0.9244,1.0545,1.2305,1.4082,1.5555,1.6642,1.7423,1.8024,1.8552,1.9071,1.9614,2.0191,2.0798,2.1428,2.2068,2.2708,2.3336,2.3946,2.453,2.5086,2.5613,2.611,2.6579,2.7019,2.743,2.7805,2.8134,2.8403,2.8594,2.8688,2.8667,2.8515,2.822,2.7778,2.7192,2.6473,2.5643,2.4735,2.3793,2.2869,2.2016,2.1276,2.067,2.0192,0.3132744367290893,1.6189730918680874,4.197554559476602,2.1348981857299805,1.161798357963562,1.9971363544464111,1.1001430749893188,-9999.0,0.8792804479598999,-9999.0,0.986868679523468,1.1971865892410278,0.8715800046920776,-9999.0,0.5069181323051453,1.1258087158203125,1.3213058710098267,1.1089909076690674,-2940.15966796875,33.067291259765625,-2984.351318359375,9.532443073112518e-05,-172.62869262695312,-252.54354858398438,37.96556091308594,0.9713582992553711,7.836359977722168,42.21135711669922,-28.91354751586914,19210,2030,-999.0,1
6,135.923051,-28.1287443,2.0148,2.0558,2.0915,2.115,2.131,2.1448,2.1594,2.1764,2.1971,2.2229,2.2557,2.2973,2.349,2.4107,2.4804,2.5524,2.6178,2.6648,2.6819,2.6677,2.6382,2.6068,2.5688,2.5145,2.4432,2.3613,2.2746,2.1861,2.0974,2.0106,1.9297,1.8601,1.8089,1.7837,1.7905,1.8301,1.8954,1.9699,2.031,2.0549,2.0239,1.9283,1.7675,1.5685,1.4262,1.4642,1.658,1.9025,2.1377,2.3444,2.5199,2.6645,2.778,2.8597,2.9098,2.9299,2.9227,2.8919,2.8407,2.7724,2.6902,2.5969,2.4956,0.004072392716669179,0.004072392716669179,1.027330890757709,2.1472392082214355,1.1880146265029907,1.9641408920288086,1.327194333076477,0.9386401176452637,0.851681649684906,1.0726776123046875,1.0598788261413574,1.320172905921936,0.8728393316268921,0.5169983506202698,0.502318263053894,1.064165711402893,1.3911269903182983,1.0699472427368164,147.52159118652344,146.37509155273438,-9999.0,-0.002016352489590645,371.2958984375,145.61305236816406,66.2237548828125,3.003139019012451,9.999662399291992,63.81620788574219,6.573221206665039,18076,18076,999.0,1
7,135.794597,-27.9020923,2.0099,2.0232,2.0331,2.0388,2.0421,2.0446,2.0472,2.0503,2.0542,2.0595,2.0668,2.0768,2.0902,2.1072,2.1269,2.1471,2.1636,2.1716,2.1673,2.1526,2.1369,2.1286,2.1261,2.1222,2.1117,2.0931,2.0668,2.034,1.9959,1.9541,1.9111,1.8701,1.8354,1.8122,1.8046,1.8149,1.841,1.8765,1.9108,1.932,1.9298,1.8976,1.8369,1.7673,1.7425,1.8213,1.9819,2.1672,2.3448,2.5031,2.6391,2.7526,2.8434,2.9117,2.9578,2.9823,2.986,2.9692,2.9321,2.8753,2.7997,2.7071,2.6,0.012020163854442397,0.03504322253862049,1.0726975305834454,2.100332260131836,1.1325154304504395,1.928109049797058,1.582797884941101,0.8787626028060913,0.8787626028060913,1.0958447456359863,1.0436573028564453,1.181763768196106,0.8969855308532715,-9999.0,0.5077463388442993,0.8149150609970093,1.289135456085205,1.1415607929229736,80.13235473632812,80.2376708984375,-20.591251373291016,0.0011053174966946244,381.99407958984375,467.2671813964844,49.89777374267578,1.5762197971343994,11.097237586975098,53.83708953857422,9.493844985961914,18076,18076,-999.0,1
8,140.9725094,-28.0267665,1.9692,1.9508,1.935,1.92,1.9035,1.8836,1.8584,1.8269,1.7906,1.7535,1.7165,1.6732,1.6135,1.5234,1.3878,1.2016,0.9875,0.7981,0.6906,0.6896,0.7734,0.8929,1.003,1.0821,1.129,1.1533,1.1664,1.1776,1.1938,1.219,1.2556,1.3046,1.3658,1.4383,1.5206,1.6107,1.7066,1.8057,1.9057,2.0042,2.0991,2.1885,2.2708,2.3449,2.41,2.4656,2.5115,2.5476,2.5735,2.5891,2.5935,2.5859,2.5653,2.5308,2.4823,2.421,2.3494,2.2718,2.1936,2.1205,2.057,2.0054,1.9654,0.13853410198434876,1.9549224213520509,4.85888172800079,2.0504097938537598,1.1365466117858887,1.9736080169677734,1.3978219032287598,0.8739311099052429,0.8853684663772583,1.0600477457046509,1.0457104444503784,1.3889518976211548,0.8948839902877808,-9999.0,0.5057028532028198,0.9202442765235901,1.284127950668335,1.1192190647125244,-2963.45068359375,81.74356079101562,-3006.8525390625,1.0171492249355651e-05,-108.55433654785156,-157.91644287109375,28.281532287597656,0.6064903736114502,6.121557235717773,49.05694580078125,-9.544252395629883,19210,2030,-999.0,1
9,135.849008,-28.0369863,2.0086,2.0327,2.0525,2.0642,2.0711,2.0761,2.0813,2.0874,2.0952,2.1057,2.1201,2.1396,2.1652,2.1965,2.2311,2.2635,2.2855,2.2875,2.2639,2.2216,2.1841,2.1702,2.1751,2.1803,2.173,2.1491,2.109,2.0547,1.9886,1.914,1.835,1.7574,1.6887,1.6374,1.6111,1.6132,1.64,1.6788,1.7096,1.7089,1.6546,1.5313,1.34,1.1264,1.0162,1.1404,1.4329,1.7586,2.0517,2.2969,2.4959,2.6532,2.772,2.855,2.9049,2.9247,2.9179,2.8878,2.8376,2.7702,2.6887,2.596,2.4953,0.03798100435214802,0.04166589919947328,1.0229696202197913,1.9486074447631836,-9999.0,2.0400807857513428,1.446289300918579,0.9061774015426636,0.8953341245651245,1.0654377937316895,1.0779414176940918,1.375503420829773,0.9789851307868958,-9999.0,0.5162140130996704,0.8827873468399048,1.275693416595459,1.177807331085205,56.24196243286133,61.06753921508789,-23.244285583496094,-0.0005117550026625395,124.33860778808594,283.8700256347656,28.6704044342041,0.5499946475028992,5.043747901916504,53.19005584716797,7.337146282196045,18076,18076,-999.0,1
