,lon,lat,res-25,res-77,res-136,res-201,res-273,res-353,res-442,res-541,res-650,res-772,res-907,res-1056,res-1223,res-1407,res-1612,res-1839,res-2092,res-2372,res-2683,res-3028,res-3411,res-3837,res-4309,res-4833,res-5414,res-6060,res-6776,res-7572,res-8455,res-9435,res-10523,res-11730,res-13071,res-14559,res-16210,res-18043,res-20078,res-22337,res-24844,res-27627,res-30716,res-34145,res-37951,res-42175,res-46865,res-52070,res-57847,res-64261,res-71379,res-79281,res-88052,res-97788,res-108595,res-120590,res-133905,res-148685,res-165090,res-183300,res-203513,res-225950,res-250854,res-278498,res-309183,neoFaults,archFaults,gairFaults,aster1-AlOH-cont,aster2-AlOH,aster3-FeOH-cont,aster4-Ferric-cont,aster5-Ferrous-cont,aster6-Ferrous-index,aster7-MgOH-comp,aster8-MgOH-cont,aster9-green,aster10-kaolin,aster11-opaque,aster12-quartz,aster13-regolith-b3,aster14-regolith-b4,aster15-silica,base16,dem17,dtb18,mag19-2vd,mag20-rtp,mag21-tmi,rad22-dose,rad23-k,rad24-th,rad25-u,grav26,archean27,geol28,random,deposit
0,133.7524202,-27.2866243,1.9932,1.9896,1.9869,1.9847,1.9826,1.9804,1.9781,1.9755,1.9726,1.9693,1.9657,1.9616,1.957,1.9518,1.946,1.9394,1.932,1.9237,1.9142,1.9035,1.8915,1.8781,1.8632,1.8466,1.8286,1.8091,1.7881,1.7657,1.7417,1.7161,1.6894,1.662,1.6343,1.6072,1.5815,1.5582,1.5385,1.5238,1.5156,1.5154,1.525,1.5462,1.5805,1.6297,1.6951,1.7777,1.8777,1.9946,2.1266,2.2704,2.4215,2.5739,2.7204,2.8522,2.9599,3.0345,3.0687,3.0591,3.0078,2.9221,2.8127,2.6908,2.5656,0.0193302744784027,0.10393725617675037,0.36123641240368426,1.9784817695617676,1.0691626071929932,2.0606985092163086,1.470534324645996,0.8757609128952026,0.8572069406509399,0.9909273982048035,1.0661603212356567,1.3851350545883179,0.9797788262367249,-9999.0,0.5042992234230042,0.8487507700920105,1.2477445602416992,1.1289314031600952,-669.004150390625,308.64776611328125,-9999.0,-2.396790478087496e-05,61.507423400878906,527.404296875,44.69776916503906,0.8521766662597656,10.78776741027832,53.75954818725586,-58.7042236328125,18450.0,8042.0,-999.0,1
1,134.1912412,-26.8808113,1.991,1.9861,1.9824,1.9794,1.9765,1.9735,1.9703,1.9667,1.9626,1.958,1.9528,1.947,1.9403,1.9328,1.9243,1.9147,1.9039,1.8918,1.8785,1.8638,1.848,1.8313,1.8139,1.7961,1.7782,1.7602,1.7424,1.7246,1.7069,1.6894,1.6724,1.6563,1.6417,1.6294,1.6203,1.6155,1.6157,1.6218,1.6344,1.6537,1.6793,1.711,1.7482,1.7911,1.8404,1.8976,1.9654,2.0465,2.1429,2.2553,2.3819,2.5182,2.6573,2.7901,2.9063,2.9958,3.0498,3.063,3.0346,2.9688,2.8739,2.7595,2.6346,0.010264359858644172,0.27193610298948423,0.9589262288479006,1.9791561365127563,1.0794872045516968,-9999.0,1.4267513751983643,-9999.0,0.8465964794158936,-9999.0,-9999.0,1.53266441822052,-9999.0,-9999.0,0.5036512613296509,0.8874107599258423,1.2642676830291748,1.107728362083435,-183.73983764648438,256.0079345703125,-9999.0,-8.264748612418771e-05,-412.75543212890625,-34.92917251586914,41.62177658081055,1.707460641860962,7.066802024841309,37.247413635253906,-62.11949920654297,18450.0,2030.0,999.0,1
2,135.360381,-28.9123523,2.0118,2.0073,2.0004,1.9944,1.9896,1.9855,1.9819,1.9786,1.9759,1.974,1.9732,1.9739,1.9758,1.9791,1.9845,1.9888,1.9815,1.9532,1.9023,1.8293,1.7301,1.6034,1.4652,1.3578,1.3383,1.4335,1.6124,1.8223,2.0247,2.1994,2.3358,2.4261,2.4656,2.4541,2.3972,2.3039,2.1861,2.0621,1.966,1.9414,1.9985,2.1087,2.2413,2.3772,2.5058,2.6218,2.7244,2.8156,2.8972,2.9673,3.0203,3.0492,3.0486,3.0172,2.9584,2.8786,2.785,2.6844,2.5823,2.4831,2.3899,2.3049,2.2291,0.29115935409594734,0.07988573842584959,0.11910749200582751,2.0048201084136963,1.1279655694961548,2.039644241333008,1.4265882968902588,0.9115227460861206,0.9115227460861206,1.0223026275634766,1.0613682270050049,1.245002031326294,0.9412006139755249,-9999.0,0.5087929964065552,0.8673908710479736,1.2374095916748047,1.1690171957015991,49.23332214355469,111.73980712890625,-61.60578918457031,-0.002018439583480358,437.6114501953125,-504.5814208984375,38.042274475097656,1.3110501766204834,6.757582664489746,44.47992706298828,-14.811458587646484,18076.0,8602.0,-999.0,1
3,132.2758134,-28.3680232,1.9943,1.9834,1.971,1.9581,1.9441,1.9278,1.908,1.8836,1.8541,1.8195,1.7812,1.74,1.6905,1.6137,1.4721,1.2137,0.8015,0.2913,-0.0876,0.0251,0.62,1.3225,1.867,2.2127,2.4144,2.5289,2.5925,2.6258,2.6411,2.647,2.6495,2.6528,2.6593,2.6697,2.6837,2.6999,2.7168,2.7321,2.7442,2.7511,2.7516,2.7451,2.7318,2.7131,2.6919,2.6723,2.6591,2.6569,2.6681,2.6919,2.7242,2.7587,2.788,2.8049,2.8027,2.7768,2.7241,2.6447,2.5416,2.4218,2.2964,2.1794,2.0844,0.05140695219034747,0.14024281355171073,0.097853261564965,2.0342049598693848,1.041337251663208,1.9737263917922974,1.3417186737060547,0.941024899482727,0.9300369024276733,1.0307133197784424,1.0213042497634888,1.4323925971984863,0.9528445601463318,-9999.0,0.5099582076072693,0.8346340656280518,1.1196787357330322,1.192870855331421,-2342.91650390625,266.627685546875,-9999.0,1.5510700904997066e-05,30.583240509033203,-83.79519653320312,14.85715103149414,0.2414630502462387,3.4819345474243164,34.49530792236328,-33.88241195678711,18450.0,5694.0,999.0,1
4,135.012645,-29.0721423,2.2397,2.3131,2.3447,2.3617,2.3741,2.3845,2.3931,2.3993,2.4024,2.4017,2.3962,2.3843,2.3622,2.3219,2.2464,2.1054,1.8655,1.5531,1.3764,1.5869,1.9802,2.3181,2.5493,2.7102,2.8403,2.9529,3.046,3.11,3.1307,3.1022,3.0253,2.9033,2.7392,2.5332,2.2797,1.9663,1.5852,1.1748,0.8761,0.8644,1.1147,1.4634,1.8002,2.0879,2.3238,2.5144,2.6651,2.7783,2.8548,2.895,2.901,2.8768,2.8275,2.759,2.6779,2.5913,2.5061,2.4274,2.3575,2.2963,2.2427,2.1956,2.1535,0.5668205535763196,0.007436017801366393,0.0433856248325492,2.0504603385925293,1.0887789726257324,1.9851489067077637,1.4112168550491333,0.7968232035636902,0.7968232035636902,1.0351829528808594,1.0382477045059204,1.2257330417633057,0.9359073638916016,-9999.0,0.5039787888526917,0.9700505137443542,1.3669490814208984,1.0467422008514404,91.54446411132812,148.1463623046875,-56.604042053222656,1.690862700343132e-05,139.9262237548828,-162.05630493164062,42.572776794433594,1.0646253824234009,9.2208251953125,56.48447799682617,0.47798392176628113,18444.0,8042.0,999.0,1
5,135.440877,-29.4344243,2.3108,2.4298,2.4913,2.5311,2.5646,2.5969,2.6294,2.6622,2.6953,2.7285,2.7615,2.7937,2.8242,2.8527,2.8797,2.9065,2.934,2.9624,2.9873,2.9965,2.9782,2.9443,2.9394,2.9969,3.0926,3.1919,3.274,3.3246,3.3316,3.2865,3.1869,3.0357,2.8374,2.5916,2.2886,1.913,1.4684,1.0352,0.805,0.8908,1.1441,1.4078,1.6305,1.8184,1.9906,2.1605,2.3339,2.5095,2.68,2.832,2.947,3.0057,2.9951,2.9159,2.7848,2.629,2.4786,2.357,2.2729,2.2197,2.1836,2.1545,2.1275,0.356812625040641,0.038883385653584325,0.33389494870955316,2.003919839859009,1.1244103908538818,2.049616813659668,1.3564536571502686,0.9004645943641663,0.9004645943641663,1.0108790397644043,1.0201627016067505,1.1624517440795898,0.9428675174713135,-9999.0,0.5074001550674438,0.9233665466308594,1.2489721775054932,1.1357287168502808,124.59244537353516,151.92953491210938,-29.819446563720703,-0.01073572225868702,1321.15283203125,3109.08544921875,47.90926742553711,1.1325947046279907,9.499128341674805,55.41901397705078,10.435266494750977,18444.0,8042.0,-999.0,1
6,139.2361425,-29.7908875,2.1909,2.2574,2.2827,2.2899,2.2885,2.2797,2.2604,2.2268,2.1771,2.1155,2.054,2.0134,2.0243,2.1119,2.2704,2.4625,2.6418,2.775,2.8475,2.8543,2.8227,2.9204,3.022,3.0765,3.0451,2.9237,2.7628,2.612,2.4903,2.3959,2.3215,2.2599,2.2057,2.1555,2.1076,2.0614,2.0173,1.976,1.9392,1.9104,1.8961,1.9064,1.9538,2.0478,2.1876,2.3584,2.5364,2.6979,2.8252,2.9088,2.9465,2.9414,2.8997,2.8283,2.7341,2.6234,2.5027,2.3788,2.2593,2.152,2.0632,1.9963,1.9501,0.030011081578085363,0.19768121466255556,2.544104419500857,2.086930513381958,1.0898231267929077,1.92576003074646,1.444992184638977,0.860084056854248,0.860084056854248,1.0831904411315918,1.0237188339233398,1.2301315069198608,0.9193317890167236,-9999.0,0.5151190757751465,0.87713223695755,1.2669963836669922,1.111476182937622,130.957763671875,133.31021118164062,-33.913482666015625,-4.447473997970519e-07,-339.9688720703125,-45.94600296020508,70.30470275878906,1.2401732206344604,9.760725975036621,62.1645622253418,-2.335796356201172,19214.0,8042.0,999.0,1
7,139.5312594,-29.7917895,2.1202,2.159,2.1701,2.169,2.1628,2.1532,2.1411,2.129,2.1236,2.1336,2.1636,2.2111,2.2736,2.3523,2.4435,2.5308,2.5862,2.5725,2.4371,2.1266,1.6785,1.5156,1.5279,1.7525,2.0335,2.2191,2.3086,2.3461,2.3588,2.3584,2.3504,2.3393,2.3286,2.3204,2.3155,2.3137,2.3143,2.3166,2.3203,2.3264,2.3373,2.357,2.3903,2.4411,2.5093,2.5893,2.6714,2.7441,2.798,2.8269,2.8286,2.804,2.7558,2.6878,2.6037,2.5078,2.4042,2.298,2.1952,2.1025,2.0258,1.968,1.9286,0.0024951354619586505,0.0024951354619586505,2.801547979675089,2.288123607635498,1.0898168087005615,1.765043020248413,1.4902313947677612,-9999.0,0.8568557500839233,-9999.0,0.9396477937698364,1.381847620010376,0.7947747111320496,-9999.0,0.5114723443984985,0.8681962490081787,1.2740159034729004,1.0923879146575928,126.67143249511719,126.83187866210938,-7.75279426574707,0.00129330949857831,-408.1788024902344,-113.13663482666016,149.30587768554688,3.244335174560547,33.77783203125,140.24505615234375,-18.1654109954834,17262.0,16926.0,999.0,1
8,139.2365335,-29.7930485,2.1909,2.2574,2.2827,2.2899,2.2885,2.2797,2.2604,2.2268,2.1771,2.1155,2.054,2.0134,2.0243,2.1119,2.2704,2.4625,2.6418,2.775,2.8475,2.8543,2.8227,2.9204,3.022,3.0765,3.0451,2.9237,2.7628,2.612,2.4903,2.3959,2.3215,2.2599,2.2057,2.1555,2.1076,2.0614,2.0173,1.976,1.9392,1.9104,1.8961,1.9064,1.9538,2.0478,2.1876,2.3584,2.5364,2.6979,2.8252,2.9088,2.9465,2.9414,2.8997,2.8283,2.7341,2.6234,2.5027,2.3788,2.2593,2.152,2.0632,1.9963,1.9501,0.027933157701389946,0.19698455605692125,2.543870566525264,2.086930513381958,1.0898231267929077,1.92576003074646,1.444992184638977,0.860084056854248,0.860084056854248,1.0831904411315918,1.0237188339233398,1.2301315069198608,0.9193317890167236,-9999.0,0.5151190757751465,0.87713223695755,1.2669963836669922,1.111476182937622,130.957763671875,133.31021118164062,-33.913482666015625,-4.447473997970519e-07,-339.9688720703125,-45.94600296020508,70.30470275878906,1.2401732206344604,9.760725975036621,62.1645622253418,-2.335796356201172,19214.0,8042.0,999.0,1
9,135.8029339,-29.7305493,1.981,1.9573,1.9325,1.9084,1.8838,1.857,1.8262,1.7897,1.7455,1.6911,1.6234,1.5386,1.4362,1.3281,1.2427,1.2101,1.2413,1.3243,1.4305,1.5339,1.622,1.6996,1.773,1.8366,1.8826,1.911,1.9269,1.9345,1.9357,1.9301,1.9166,1.8933,1.8579,1.8065,1.7328,1.6318,1.5129,1.4266,1.4626,1.6413,1.8677,2.0698,2.2305,2.3553,2.4547,2.5389,2.6173,2.6973,2.7839,2.8766,2.9668,3.0354,3.0565,3.0096,2.8932,2.7272,2.544,2.3774,2.2513,2.1717,2.1272,2.1021,2.0848,0.49559855495597716,0.03287750455292487,0.05007837297706264,2.114156723022461,1.109567403793335,1.9546763896942139,1.5232830047607422,0.8099824786186218,0.8057060837745667,1.0451300144195557,1.008793592453003,1.1536457538604736,0.8994278907775879,-9999.0,0.5034839510917664,0.905742347240448,1.377051830291748,1.036548137664795,97.86651611328125,181.02915954589844,-103.1907730102539,-0.0002861534303519875,226.42071533203125,-243.57943725585938,44.71315002441406,1.114665150642395,12.403966903686523,60.46171569824219,0.2688863277435303,18940.0,5694.0,-999.0,1
